org,chr,bp,range,trait
Z.mays,1,166729667,1.00E+05,Co59
Z.mays,1,170425918,1.00E+05,Co59
Z.mays,1,170425918,1.00E+05,Co59
Z.mays,1,173504857,1.00E+05,Co59
Z.mays,1,173509048,1.00E+05,Co59
Z.mays,1,174726273,1.00E+05,Co59
Z.mays,1,174800396,1.00E+05,Co59
Z.mays,1,175356298,1.00E+05,Co59
Z.mays,1,175955626,1.00E+05,Co59
Z.mays,1,180225650,1.00E+05,Co59
Z.mays,1,180234211,1.00E+05,Co59
Z.mays,1,180660175,1.00E+05,Co59
Z.mays,1,180660175,1.00E+05,Co59
Z.mays,1,180660175,1.00E+05,Co59
Z.mays,1,181068282,1.00E+05,Co59
Z.mays,1,181088977,1.00E+05,Co59
Z.mays,1,181510725,1.00E+05,Co59
Z.mays,1,181930787,1.00E+05,Co59
Z.mays,1,183106853,1.00E+05,Co59
Z.mays,1,183106853,1.00E+05,Co59
Z.mays,1,183465027,1.00E+05,Co59
Z.mays,1,183465027,1.00E+05,Co59
Z.mays,1,183830913,1.00E+05,Co59
Z.mays,1,183886472,1.00E+05,Co59
Z.mays,1,187886391,1.00E+05,Co59
Z.mays,1,188134520,1.00E+05,Co59
Z.mays,1,190868427,1.00E+05,Co59
Z.mays,1,192043546,1.00E+05,Co59
Z.mays,1,193368870,1.00E+05,Co59
Z.mays,1,193368870,1.00E+05,Co59
Z.mays,1,194851125,1.00E+05,Co59
Z.mays,1,196805268,1.00E+05,Co59
Z.mays,1,196805268,1.00E+05,Co59
Z.mays,1,197183747,1.00E+05,Co59
Z.mays,1,197198468,1.00E+05,Co59
Z.mays,1,197198468,1.00E+05,Co59
Z.mays,1,197199985,1.00E+05,Co59
Z.mays,1,197199985,1.00E+05,Co59
Z.mays,1,198232554,1.00E+05,Co59
Z.mays,1,198421294,1.00E+05,Co59
Z.mays,1,198421294,1.00E+05,Co59
Z.mays,1,198580682,1.00E+05,Co59
Z.mays,1,198739603,1.00E+05,Co59
Z.mays,1,199618368,1.00E+05,Co59
Z.mays,1,199790187,1.00E+05,Co59
Z.mays,1,199960247,1.00E+05,Co59
Z.mays,1,200480914,1.00E+05,Co59
Z.mays,1,200480914,1.00E+05,Co59
Z.mays,1,200803425,1.00E+05,Co59
Z.mays,1,201523278,1.00E+05,Co59
Z.mays,1,201523278,1.00E+05,Co59
Z.mays,1,206384089,1.00E+05,Co59
Z.mays,1,208905428,1.00E+05,Co59
Z.mays,1,211813231,1.00E+05,Co59
Z.mays,1,212298233,1.00E+05,Co59
Z.mays,1,212298233,1.00E+05,Co59
Z.mays,1,212298233,1.00E+05,Co59
Z.mays,1,213035379,1.00E+05,Co59
Z.mays,1,213118863,1.00E+05,Co59
Z.mays,1,213201744,1.00E+05,Co59
Z.mays,1,213456838,1.00E+05,Co59
Z.mays,1,213456838,1.00E+05,Co59
Z.mays,1,213456844,1.00E+05,Co59
Z.mays,1,214488015,1.00E+05,Co59
Z.mays,1,215246825,1.00E+05,Co59
Z.mays,1,215251837,1.00E+05,Co59
Z.mays,1,215269941,1.00E+05,Co59
Z.mays,1,215269941,1.00E+05,Co59
Z.mays,1,215521402,1.00E+05,Co59
Z.mays,1,215764924,1.00E+05,Co59
Z.mays,1,215811027,1.00E+05,Co59
Z.mays,1,216294199,1.00E+05,Co59
Z.mays,1,216294199,1.00E+05,Co59
Z.mays,1,216817624,1.00E+05,Co59
Z.mays,1,216817624,1.00E+05,Co59
Z.mays,1,216817624,1.00E+05,Co59
Z.mays,1,217636549,1.00E+05,Co59
Z.mays,1,218141593,1.00E+05,Co59
Z.mays,1,218517476,1.00E+05,Co59
Z.mays,1,218623912,1.00E+05,Co59
Z.mays,1,218629189,1.00E+05,Co59
Z.mays,1,218630042,1.00E+05,Co59
Z.mays,1,218630042,1.00E+05,Co59
Z.mays,1,219109034,1.00E+05,Co59
Z.mays,1,219109034,1.00E+05,Co59
Z.mays,1,219139664,1.00E+05,Co59
Z.mays,1,219139664,1.00E+05,Co59
Z.mays,1,219619525,1.00E+05,Co59
Z.mays,1,219621718,1.00E+05,Co59
Z.mays,1,220085741,1.00E+05,Co59
Z.mays,1,220122475,1.00E+05,Co59
Z.mays,1,220122475,1.00E+05,Co59
Z.mays,1,220614852,1.00E+05,Co59
Z.mays,1,222095396,1.00E+05,Co59
Z.mays,1,222095396,1.00E+05,Co59
Z.mays,1,223084938,1.00E+05,Co59
Z.mays,1,223089012,1.00E+05,Co59
Z.mays,1,223919118,1.00E+05,Co59
Z.mays,1,223919118,1.00E+05,Co59
Z.mays,1,224027594,1.00E+05,Co59
Z.mays,1,224514394,1.00E+05,Co59
Z.mays,1,224514394,1.00E+05,Co59
Z.mays,1,228158016,1.00E+05,Co59
Z.mays,1,229966043,1.00E+05,Co59
Z.mays,1,231501609,1.00E+05,Co59
Z.mays,1,232999522,1.00E+05,Co59
Z.mays,1,234117639,1.00E+05,Co59
Z.mays,1,234318540,1.00E+05,Co59
Z.mays,1,235336533,1.00E+05,Co59
Z.mays,1,235840795,1.00E+05,Co59
Z.mays,1,236879756,1.00E+05,Co59
Z.mays,1,241555498,1.00E+05,Co59
Z.mays,1,245904916,1.00E+05,Co59
Z.mays,1,245904916,1.00E+05,Co59
Z.mays,1,245904916,1.00E+05,Co59
Z.mays,1,246298597,1.00E+05,Co59
Z.mays,1,248333917,1.00E+05,Co59
Z.mays,1,248333917,1.00E+05,Co59
Z.mays,1,249479638,1.00E+05,Co59
Z.mays,1,249606852,1.00E+05,Co59
Z.mays,1,250079705,1.00E+05,Co59
Z.mays,1,250079705,1.00E+05,Co59
Z.mays,1,250814236,1.00E+05,Co59
Z.mays,1,251205240,1.00E+05,Co59
Z.mays,1,251798105,1.00E+05,Co59
Z.mays,1,251798105,1.00E+05,Co59
Z.mays,1,251800947,1.00E+05,Co59
Z.mays,1,251801637,1.00E+05,Co59
Z.mays,1,252537620,1.00E+05,Co59
Z.mays,1,252962992,1.00E+05,Co59
Z.mays,1,253323977,1.00E+05,Co59
Z.mays,1,253323977,1.00E+05,Co59
Z.mays,1,253391374,1.00E+05,Co59
Z.mays,1,253391374,1.00E+05,Co59
Z.mays,1,253827535,1.00E+05,Co59
Z.mays,1,253827535,1.00E+05,Co59
Z.mays,1,253831440,1.00E+05,Co59
Z.mays,1,253854014,1.00E+05,Co59
Z.mays,1,254596431,1.00E+05,Co59
Z.mays,1,254725875,1.00E+05,Co59
Z.mays,1,255175775,1.00E+05,Co59
Z.mays,1,255208049,1.00E+05,Co59
Z.mays,1,255208049,1.00E+05,Co59
Z.mays,1,255463329,1.00E+05,Co59
Z.mays,1,256276057,1.00E+05,Co59
Z.mays,1,256283293,1.00E+05,Co59
Z.mays,1,256574595,1.00E+05,Co59
Z.mays,1,256967447,1.00E+05,Co59
Z.mays,1,257694223,1.00E+05,Co59
Z.mays,1,257976183,1.00E+05,Co59
Z.mays,1,258030864,1.00E+05,Co59
Z.mays,1,258031568,1.00E+05,Co59
Z.mays,1,258033995,1.00E+05,Co59
Z.mays,1,258109114,1.00E+05,Co59
Z.mays,1,258458561,1.00E+05,Co59
Z.mays,1,258497555,1.00E+05,Co59
Z.mays,1,258506879,1.00E+05,Co59
Z.mays,1,258699386,1.00E+05,Co59
Z.mays,1,258699386,1.00E+05,Co59
Z.mays,1,259356161,1.00E+05,Co59
Z.mays,1,262668104,1.00E+05,Co59
Z.mays,1,263097994,1.00E+05,Co59
Z.mays,1,266080882,1.00E+05,Co59
Z.mays,1,266086394,1.00E+05,Co59
Z.mays,1,268633200,1.00E+05,Co59
Z.mays,1,269107365,1.00E+05,Co59
Z.mays,1,269146570,1.00E+05,Co59
Z.mays,1,271030859,1.00E+05,Co59
Z.mays,1,271030859,1.00E+05,Co59
Z.mays,1,273364130,1.00E+05,Co59
Z.mays,1,273364130,1.00E+05,Co59
Z.mays,1,273377224,1.00E+05,Co59
Z.mays,1,273377224,1.00E+05,Co59
Z.mays,1,273539728,1.00E+05,Co59
Z.mays,1,273565733,1.00E+05,Co59
Z.mays,1,274831440,1.00E+05,Co59
Z.mays,1,274831440,1.00E+05,Co59
Z.mays,1,275001349,1.00E+05,Co59
Z.mays,1,275001349,1.00E+05,Co59
Z.mays,1,276439162,1.00E+05,Co59
Z.mays,1,276998788,1.00E+05,Co59
Z.mays,1,277002343,1.00E+05,Co59
Z.mays,1,277685456,1.00E+05,Co59
Z.mays,1,279753467,1.00E+05,Co59
Z.mays,1,279842532,1.00E+05,Co59
Z.mays,1,280130120,1.00E+05,Co59
Z.mays,1,280309144,1.00E+05,Co59
Z.mays,1,280416516,1.00E+05,Co59
Z.mays,1,280896166,1.00E+05,Co59
Z.mays,1,281000867,1.00E+05,Co59
Z.mays,1,281180169,1.00E+05,Co59
Z.mays,1,281366424,1.00E+05,Co59
Z.mays,1,281368679,1.00E+05,Co59
Z.mays,1,281719584,1.00E+05,Co59
Z.mays,1,281876189,1.00E+05,Co59
Z.mays,1,281876189,1.00E+05,Co59
Z.mays,1,283936736,1.00E+05,Co59
Z.mays,1,283936736,1.00E+05,Co59
Z.mays,1,284082943,1.00E+05,Co59
Z.mays,1,285938253,1.00E+05,Co59
Z.mays,1,285956830,1.00E+05,Co59
Z.mays,1,286004155,1.00E+05,Co59
Z.mays,1,286716587,1.00E+05,Co59
Z.mays,1,286716587,1.00E+05,Co59
Z.mays,1,286842891,1.00E+05,Co59
Z.mays,1,287466955,1.00E+05,Co59
Z.mays,1,287467406,1.00E+05,Co59
Z.mays,1,287502886,1.00E+05,Co59
Z.mays,1,287544307,1.00E+05,Co59
Z.mays,1,287550317,1.00E+05,Co59
Z.mays,1,287664557,1.00E+05,Co59
Z.mays,1,287702120,1.00E+05,Co59
Z.mays,1,287832112,1.00E+05,Co59
Z.mays,1,287877778,1.00E+05,Co59
Z.mays,1,287877778,1.00E+05,Co59
Z.mays,1,287878166,1.00E+05,Co59
Z.mays,1,287887140,1.00E+05,Co59
Z.mays,1,287962474,1.00E+05,Co59
Z.mays,1,288118814,1.00E+05,Co59
Z.mays,1,288234520,1.00E+05,Co59
Z.mays,1,288727516,1.00E+05,Co59
Z.mays,1,288790111,1.00E+05,Co59
Z.mays,1,288887081,1.00E+05,Co59
Z.mays,1,289264732,1.00E+05,Co59
Z.mays,1,289389214,1.00E+05,Co59
Z.mays,1,289495858,1.00E+05,Co59
Z.mays,1,289495858,1.00E+05,Co59
Z.mays,1,290893503,1.00E+05,Co59
Z.mays,1,291061984,1.00E+05,Co59
Z.mays,1,291934243,1.00E+05,Co59
Z.mays,1,292008952,1.00E+05,Co59
Z.mays,1,292153544,1.00E+05,Co59
Z.mays,1,292153544,1.00E+05,Co59
Z.mays,1,292164091,1.00E+05,Co59
Z.mays,1,292174034,1.00E+05,Co59
Z.mays,1,292227957,1.00E+05,Co59
Z.mays,1,292430861,1.00E+05,Co59
Z.mays,1,293081041,1.00E+05,Co59
Z.mays,1,293286225,1.00E+05,Co59
Z.mays,1,294277313,1.00E+05,Co59
Z.mays,1,294277313,1.00E+05,Co59
Z.mays,1,295282570,1.00E+05,Co59
Z.mays,1,295413800,1.00E+05,Co59
Z.mays,1,296971709,1.00E+05,Co59
Z.mays,1,296988617,1.00E+05,Co59
Z.mays,1,297152118,1.00E+05,Co59
Z.mays,1,299602999,1.00E+05,Co59
Z.mays,10,30064,1.00E+05,Co59
Z.mays,10,30064,1.00E+05,Co59
Z.mays,10,30064,1.00E+05,Co59
Z.mays,10,96726,1.00E+05,Co59
Z.mays,10,1729993,1.00E+05,Co59
Z.mays,10,1794379,1.00E+05,Co59
Z.mays,10,1815676,1.00E+05,Co59
Z.mays,10,1815676,1.00E+05,Co59
Z.mays,10,1834636,1.00E+05,Co59
Z.mays,10,1834636,1.00E+05,Co59
Z.mays,10,1834636,1.00E+05,Co59
Z.mays,10,1876017,1.00E+05,Co59
Z.mays,10,1876017,1.00E+05,Co59
Z.mays,10,1876017,1.00E+05,Co59
Z.mays,10,1884776,1.00E+05,Co59
Z.mays,10,1927690,1.00E+05,Co59
Z.mays,10,1927724,1.00E+05,Co59
Z.mays,10,1983521,1.00E+05,Co59
Z.mays,10,2102937,1.00E+05,Co59
Z.mays,10,2218099,1.00E+05,Co59
Z.mays,10,2218099,1.00E+05,Co59
Z.mays,10,2298195,1.00E+05,Co59
Z.mays,10,2457277,1.00E+05,Co59
Z.mays,10,2631851,1.00E+05,Co59
Z.mays,10,2703337,1.00E+05,Co59
Z.mays,10,2763572,1.00E+05,Co59
Z.mays,10,2763572,1.00E+05,Co59
Z.mays,10,2763572,1.00E+05,Co59
Z.mays,10,2764205,1.00E+05,Co59
Z.mays,10,2804362,1.00E+05,Co59
Z.mays,10,2905999,1.00E+05,Co59
Z.mays,10,2985652,1.00E+05,Co59
Z.mays,10,2985652,1.00E+05,Co59
Z.mays,10,3021731,1.00E+05,Co59
Z.mays,10,3089996,1.00E+05,Co59
Z.mays,10,3089996,1.00E+05,Co59
Z.mays,10,3143523,1.00E+05,Co59
Z.mays,10,3194113,1.00E+05,Co59
Z.mays,10,3210598,1.00E+05,Co59
Z.mays,10,3258597,1.00E+05,Co59
Z.mays,10,3258597,1.00E+05,Co59
Z.mays,10,3259380,1.00E+05,Co59
Z.mays,10,3297372,1.00E+05,Co59
Z.mays,10,3980350,1.00E+05,Co59
Z.mays,10,4058789,1.00E+05,Co59
Z.mays,10,4567437,1.00E+05,Co59
Z.mays,10,4608891,1.00E+05,Co59
Z.mays,10,4608891,1.00E+05,Co59
Z.mays,10,4649790,1.00E+05,Co59
Z.mays,10,4678659,1.00E+05,Co59
Z.mays,10,4683856,1.00E+05,Co59
Z.mays,10,4683856,1.00E+05,Co59
Z.mays,10,4683856,1.00E+05,Co59
Z.mays,10,4683856,1.00E+05,Co59
Z.mays,10,4705670,1.00E+05,Co59
Z.mays,10,4705679,1.00E+05,Co59
Z.mays,10,4719443,1.00E+05,Co59
Z.mays,10,4719543,1.00E+05,Co59
Z.mays,10,4719544,1.00E+05,Co59
Z.mays,10,4742292,1.00E+05,Co59
Z.mays,10,4742292,1.00E+05,Co59
Z.mays,10,4745716,1.00E+05,Co59
Z.mays,10,4745716,1.00E+05,Co59
Z.mays,10,4766353,1.00E+05,Co59
Z.mays,10,4766353,1.00E+05,Co59
Z.mays,10,4778305,1.00E+05,Co59
Z.mays,10,4778305,1.00E+05,Co59
Z.mays,10,4888171,1.00E+05,Co59
Z.mays,10,4915554,1.00E+05,Co59
Z.mays,10,5114533,1.00E+05,Co59
Z.mays,10,5119819,1.00E+05,Co59
Z.mays,10,5125650,1.00E+05,Co59
Z.mays,10,5404313,1.00E+05,Co59
Z.mays,10,5438201,1.00E+05,Co59
Z.mays,10,5485248,1.00E+05,Co59
Z.mays,10,5485248,1.00E+05,Co59
Z.mays,10,5485248,1.00E+05,Co59
Z.mays,10,5537274,1.00E+05,Co59
Z.mays,10,5589169,1.00E+05,Co59
Z.mays,10,5668063,1.00E+05,Co59
Z.mays,10,5668063,1.00E+05,Co59
Z.mays,10,5668063,1.00E+05,Co59
Z.mays,10,5668063,1.00E+05,Co59
