"Orthogroup","trait","org","Chromosome Name","bp","start","end","loci","Gene Name","Gene Start (bp)","Gene End (bp)","Description","present"
"OG0002737","Mn","Gmax_Wm82.a2.v1",12,2556204,2356204,2839339,"Gmax_Wm82.a2.v1_Mn_12_2556204","Glyma.12G033600",2527643,2529980,"PTHR33876:SF1 - EXPRESSED PROTEIN-RELATED (1 of 4)",3
"OG0002737","Mn","Osativa_v7.0",6,1133906,890906,1376906,"Osativa_v7.0_Mn_6_1133906","LOC_Os06g02580",908485,910322,"high-affinity nickel-transport family protein, putative, expressed",3
"OG0002737","Mn","Sbicolor_v3.1.1",10,1149045,1049045,1249045,"Sbicolor_v3.1.1_Mn_10_1149045","Sobic.010G013700",1142782,1144871,"similar to High-affinity nickel-transport protein-like",3
"OG0005112","Se","Athaliana_TAIR10",5,7309563,7234563,8353134,"Athaliana_TAIR10_Se_5_7309563","AT5G21940",7249268,7250539,"",3
"OG0005112","Se","Gmax_Wm82.a2.v1",4,4421661,4221661,4621661,"Gmax_Wm82.a2.v1_Se_4_4421661","Glyma.04G056500",4585868,4586980,"",3
"OG0005112","Se","Gmax_Wm82.a2.v1",14,9296883,9096883,10221715,"Gmax_Wm82.a2.v1_Se_14_9296883","Glyma.14G098200",9296701,9299603,"",3
"OG0005112","Se","Sbicolor_v3.1.1",7,58159994,58059994,58259994,"Sbicolor_v3.1.1_Se_7_58159994","Sobic.007G150200",58204700,58208304,"similar to Putative MTD1",3
"OG0004080","Na","Athaliana_TAIR10",3,9591339,9516339,9666339,"Athaliana_TAIR10_Na_3_9591339","AT3G26380",9660065,9663298,"Melibiase family protein",3
"OG0004080","Na","Gmax_Wm82.a2.v1",11,33180864,32980864,34473933,"Gmax_Wm82.a2.v1_Na_11_33180864","Glyma.11G243600",33743871,33749429,"",3
"OG0004080","Na","Gmax_Wm82.a2.v1",8,9781116,9581116,10525225,"Gmax_Wm82.a2.v1_Na_8_9781116","Glyma.08G131400",10070505,10076628,"",3
"OG0004080","Na","Osativa_v7.0",1,18034351,17791351,18501357,"Osativa_v7.0_Na_1_18034351","LOC_Os01g33420",18394242,18401699,"glycosyl hydrolase family protein 27, putative, expressed",3
"OG0005250","Mn","Gmax_Wm82.a2.v1",13,15342401,15142401,16220523,"Gmax_Wm82.a2.v1_Mn_13_15342401","Glyma.13G058600",15598045,15606712,"PTHR11638:SF121 - CHAPERONE PROTEIN CLPB3, CHLOROPLASTIC (1 of 4)",3
"OG0005250","Mn","Osativa_v7.0",3,17973569,17730569,18216590,"Osativa_v7.0_Mn_3_17973569","LOC_Os03g31300",17832202,17839322,"chaperone protein clpB 1, putative, expressed",3
"OG0005250","Mn","Sbicolor_v3.1.1",1,62218159,62118159,62318159,"Sbicolor_v3.1.1_Mn_1_62218159","Sobic.001G333500",62224868,62233524,"similar to Heat shock protein",3
"OG0005250","Se","Athaliana_TAIR10",5,5077763,5002763,5432549,"Athaliana_TAIR10_Se_5_5077763","AT5G15450",5014212,5018347,"casein lytic proteinase B3",3
"OG0005250","Se","Gmax_Wm82.a2.v1",18,55048529,54848529,55248529,"Gmax_Wm82.a2.v1_Se_18_55048529","Glyma.18G264400",54954462,54961006,"PTHR11638:SF121 - CHAPERONE PROTEIN CLPB3, CHLOROPLASTIC (1 of 4)",3
"OG0005250","Se","Zmays_RefGen_V4",1,76080819,75980654,76180984,"Zmays_RefGen_V4_Se_1_76080819","Zm00001d029557",76065155,76078721,"(1 of 5) K03695 - ATP-dependent Clp protease ATP-binding subunit ClpB (clpB)",3
"OG0001277","Cd","Athaliana_TAIR10",5,17477406,17402406,17586265,"Athaliana_TAIR10_Cd_5_17477406","AT5G43660",17536337,17538595,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein",3
"OG0001277","Cd","Gmax_Wm82.a2.v1",20,36605229,36405229,37137232,"Gmax_Wm82.a2.v1_Cd_20_36605229","Glyma.20G122300",36506583,36511326,"",3
"OG0001277","Cd","Gmax_Wm82.a2.v1",10,48707094,48507094,49248668,"Gmax_Wm82.a2.v1_Cd_10_48707094","Glyma.10G268700",49125774,49131854,"",3
"OG0001277","Cd","Gmax_Wm82.a2.v1",7,9438704,9238704,10508831,"Gmax_Wm82.a2.v1_Cd_7_9438704","Glyma.07G099600",9436867,9449863,"1.14.11.4 - Procollagen-lysine 5-dioxygenase / Procollagen-lysine,2-oxoglutarate 5-dioxygenase (1 of 6)",3
"OG0001277","Cd","Gmax_Wm82.a2.v1",9,39721179,39521179,40723541,"Gmax_Wm82.a2.v1_Cd_9_39721179","Glyma.09G179300",40402524,40409805,"1.14.11.4 - Procollagen-lysine 5-dioxygenase / Procollagen-lysine,2-oxoglutarate 5-dioxygenase (1 of 6)",3
"OG0001277","Cd","Gmax_Wm82.a2.v1",10,48707094,48507094,49248668,"Gmax_Wm82.a2.v1_Cd_10_48707094","Glyma.10G268600",49119062,49123574,"1.14.11.4 - Procollagen-lysine 5-dioxygenase / Procollagen-lysine,2-oxoglutarate 5-dioxygenase (1 of 6)",3
"OG0001277","Cd","Gmax_Wm82.a2.v1",20,36605229,36405229,37137232,"Gmax_Wm82.a2.v1_Cd_20_36605229","Glyma.20G122400",36516501,36521436,"1.14.11.4 - Procollagen-lysine 5-dioxygenase / Procollagen-lysine,2-oxoglutarate 5-dioxygenase (1 of 6)",3
"OG0001277","Cd","Osativa_v7.0",1,4413664,4170664,4966988,"Osativa_v7.0_Cd_1_4413664","LOC_Os01g08570",4264247,4270356,"2-oxoglutarate and iron-dependent oxygenase domain-containing protein2, putative, expressed",3
"OG0007873","Mo","Gmax_Wm82.a2.v1",12,60188,1,333176,"Gmax_Wm82.a2.v1_Mo_12_60188","Glyma.12G001600",127545,128932,"PTHR23241:SF50 - LATE EMBRYOGENESIS ABUNDANT DOMAIN-CONTAINING PROTEIN-RELATED (1 of 2)",3
"OG0007873","Mo","Osativa_v7.0",4,21392493,21149493,21636907,"Osativa_v7.0_Mo_4_21392493","LOC_Os04g35490",21595744,21597815,"expressed protein",3
"OG0007873","Mo","Sbicolor_v3.1.1",6,45333285,45233285,45433285,"Sbicolor_v3.1.1_Mo_6_45333285","Sobic.006G084100",45315920,45318080,"similar to OSIGBa0102D10.1 protein",3
"OG0001169","Ca","Athaliana_TAIR10",2,12246823,12171823,12321980,"Athaliana_TAIR10_Ca_2_12246823","AT2G28630",12275319,12277245,"3-ketoacyl-CoA synthase 12",3
"OG0001169","Ca","Gmax_Wm82.a2.v1",13,42512630,42312630,42712630,"Gmax_Wm82.a2.v1_Ca_13_42512630","Glyma.13G331600",42618879,42621231,"PTHR31561:SF24 - 3-KETOACYL-COA SYNTHASE 12-RELATED (1 of 7)",3
"OG0001169","Ca","Osativa_v7.0",3,15254459,15011459,15497462,"Osativa_v7.0_Ca_3_15254459","LOC_Os03g26530",15149939,15151951,"3-ketoacyl-CoA synthase, putative, expressed",3
"OG0001169","Ca","Osativa_v7.0",3,15254459,15011459,15497462,"Osativa_v7.0_Ca_3_15254459","LOC_Os03g26620",15208874,15210724,"3-ketoacyl-CoA synthase, putative, expressed",3
"OG0006167","Mo","Athaliana_TAIR10",1,4367329,4292329,4442329,"Athaliana_TAIR10_Mo_1_4367329","AT1G12730",4334615,4337844,"GPI transamidase subunit PIG-U",3
"OG0006167","Mo","Gmax_Wm82.a2.v1",5,4481197,4281197,4681197,"Gmax_Wm82.a2.v1_Mo_5_4481197","Glyma.05G049100",4378596,4384805,"K05293 - phosphatidylinositol glycan, class U (PIGU)  (1 of 2)",3
"OG0006167","Mo","Sbicolor_v3.1.1",4,62050171,61950171,62150171,"Sbicolor_v3.1.1_Mo_4_62050171","Sobic.004G277200",62040589,62045526,"similar to Putative cell division control protein CDC91",3
"OG0001575","Fe","Athaliana_TAIR10",1,1147349,1072349,1222351,"Athaliana_TAIR10_Fe_1_1147349","AT1G04270",1141604,1143053,"cytosolic ribosomal protein S15",3
"OG0001575","Fe","Gmax_Wm82.a2.v1",5,41007475,40807475,41841184,"Gmax_Wm82.a2.v1_Fe_5_41007475","Glyma.05G234800",41172014,41173823,"K02958 - small subunit ribosomal protein S15e (RP-S15e, RPS15)  (1 of 4)",3
"OG0001575","Fe","Sbicolor_v3.1.1",9,54155511,54055511,54374879,"Sbicolor_v3.1.1_Fe_9_54155511","Sobic.009G191200",54336502,54338853,"similar to 40S ribosomal protein S15",3
"OG0001575","Zn","Athaliana_TAIR10",5,17489881,17414881,17569260,"Athaliana_TAIR10_Zn_5_17489881","AT5G43640",17531302,17532370,"Ribosomal protein S19 family protein",3
"OG0001575","Zn","Gmax_Wm82.a2.v1",17,356007,156007,987974,"Gmax_Wm82.a2.v1_Zn_17_356007","Glyma.17G004300",428857,429833,"",3
"OG0001575","Zn","Sbicolor_v3.1.1",1,4067379,3967379,4323232,"Sbicolor_v3.1.1_Zn_1_4067379","Sobic.001G054900",4115224,4118011,"similar to 40S ribosomal protein S15",3
"OG0001987","Fe","Athaliana_TAIR10",3,9308061,9233061,9383061,"Athaliana_TAIR10_Fe_3_9308061","AT3G25520",9269293,9271400,"ribosomal protein L5",3
"OG0001987","Fe","Gmax_Wm82.a2.v1",13,37457852,37257852,38227686,"Gmax_Wm82.a2.v1_Fe_13_37457852","Glyma.13G280200",38163211,38166115,"K02932 - large subunit ribosomal protein L5e (RP-L5e, RPL5)  (1 of 5)",3
"OG0001987","Fe","Gmax_Wm82.a2.v1",7,4940081,4740081,6140741,"Gmax_Wm82.a2.v1_Fe_7_4940081","Glyma.07G059900",5335302,5337999,"K02932 - large subunit ribosomal protein L5e (RP-L5e, RPL5)  (1 of 5)",3
"OG0001987","Fe","Gmax_Wm82.a2.v1",13,37457852,37257852,38227686,"Gmax_Wm82.a2.v1_Fe_13_37457852","Glyma.13G280300",38167832,38170758,"K02932 - large subunit ribosomal protein L5e (RP-L5e, RPL5)  (1 of 5)",3
"OG0001987","Fe","Gmax_Wm82.a2.v1",7,4940081,4740081,6140741,"Gmax_Wm82.a2.v1_Fe_7_4940081","Glyma.07G060000",5342520,5345316,"",3
"OG0001987","Fe","Sbicolor_v3.1.1",3,70018725,69918725,70118725,"Sbicolor_v3.1.1_Fe_3_70018725","Sobic.003G387900",69937308,69940385,"K02932 - large subunit ribosomal protein L5e (RP-L5e, RPL5)  (1 of 2)",3
"OG0001987","K","Athaliana_TAIR10",5,15814259,15739259,15941460,"Athaliana_TAIR10_K_5_15814259","AT5G39740",15903296,15905464,"ribosomal protein L5 B",3
"OG0001987","K","Gmax_Wm82.a2.v1",13,38140095,37940095,38365515,"Gmax_Wm82.a2.v1_K_13_38140095","Glyma.13G280200",38163211,38166115,"K02932 - large subunit ribosomal protein L5e (RP-L5e, RPL5)  (1 of 5)",3
"OG0001987","K","Gmax_Wm82.a2.v1",13,38140095,37940095,38365515,"Gmax_Wm82.a2.v1_K_13_38140095","Glyma.13G280300",38167832,38170758,"K02932 - large subunit ribosomal protein L5e (RP-L5e, RPL5)  (1 of 5)",3
"OG0001987","K","Sbicolor_v3.1.1",3,69977729,69877729,70088007,"Sbicolor_v3.1.1_K_3_69977729","Sobic.003G387900",69937308,69940385,"K02932 - large subunit ribosomal protein L5e (RP-L5e, RPL5)  (1 of 2)",3
"OG0005131","Mn","Gmax_Wm82.a2.v1",13,15342401,15142401,16220523,"Gmax_Wm82.a2.v1_Mn_13_15342401","Glyma.13G058400",15584668,15588052,"",3
"OG0005131","Mn","Osativa_v7.0",3,17973569,17730569,18216590,"Osativa_v7.0_Mn_3_17973569","LOC_Os03g31290",17824178,17827706,"membrane-anchored ubiquitin-fold protein, putative, expressed",3
"OG0005131","Mn","Sbicolor_v3.1.1",1,62218159,62118159,62318159,"Sbicolor_v3.1.1_Mn_1_62218159","Sobic.001G333600",62233525,62239134,"similar to Membrane-anchored ubiquitin-fold protein 1 precursor",3
"OG0005131","Se","Athaliana_TAIR10",5,5077763,5002763,5432549,"Athaliana_TAIR10_Se_5_5077763","AT5G15460",5018711,5020703,"membrane-anchored ubiquitin-fold protein 2",3
"OG0005131","Se","Gmax_Wm82.a2.v1",18,55048529,54848529,55248529,"Gmax_Wm82.a2.v1_Se_18_55048529","Glyma.18G264600",54965102,54968750,"PTHR13169:SF4 - MEMBRANE-ANCHORED UBIQUITIN-FOLD PROTEIN 1-RELATED (1 of 4)",3
"OG0005131","Se","Zmays_RefGen_V4",1,76080819,75980654,76180984,"Zmays_RefGen_V4_Se_1_76080819","Zm00001d029555",76050551,76055119,"(1 of 2) PTHR13169//PTHR13169:SF4 - UBIQUITIN-LIKE PROTEIN 3  HCG-1 PROTEIN // MEMBRANE-ANCHORED UBIQUITIN-FOLD PROTEIN 1-RELATED",3
"OG0000195","Cd","Athaliana_TAIR10",1,28679295,28604295,28754405,"Athaliana_TAIR10_Cd_1_28679295","AT1G76360",28643038,28646712,"Protein kinase superfamily protein",4
"OG0000195","Cd","Gmax_Wm82.a2.v1",9,41976187,41776187,42570093,"Gmax_Wm82.a2.v1_Cd_9_41976187","Glyma.09G198700",42305812,42310377,"PTHR27001:SF32 - INTERLEUKIN-1 RECEPTOR-ASSOCIATED KINASE 4 PROTEIN-RELATED (1 of 11)",4
"OG0000195","Cd","Gmax_Wm82.a2.v1",1,49603884,49403884,49803884,"Gmax_Wm82.a2.v1_Cd_1_49603884","Glyma.01G159300",49727737,49729017,"PTHR27001:SF32 - INTERLEUKIN-1 RECEPTOR-ASSOCIATED KINASE 4 PROTEIN-RELATED (1 of 11)",4
"OG0000195","Cd","Gmax_Wm82.a2.v1",9,41976187,41776187,42570093,"Gmax_Wm82.a2.v1_Cd_9_41976187","Glyma.09G198600",42299488,42299894,"PTHR27001:SF32 - INTERLEUKIN-1 RECEPTOR-ASSOCIATED KINASE 4 PROTEIN-RELATED (1 of 11)",4
"OG0000195","Cd","Gmax_Wm82.a2.v1",11,5824301,5624301,6723082,"Gmax_Wm82.a2.v1_Cd_11_5824301","Glyma.11G085300",6416003,6419893,"PTHR27001:SF32 - INTERLEUKIN-1 RECEPTOR-ASSOCIATED KINASE 4 PROTEIN-RELATED (1 of 11)",4
"OG0000195","Cd","Gmax_Wm82.a2.v1",11,5824301,5624301,6723082,"Gmax_Wm82.a2.v1_Cd_11_5824301","Glyma.11G085400",6422962,6427939,"",4
"OG0000195","Cd","Osativa_v7.0",2,3958,1,1664664,"Osativa_v7.0_Cd_2_3958","LOC_Os02g02600",950728,954728,"serine/threonine-protein kinase Cx32, chloroplast precursor, putative, expressed",4
"OG0000195","Cd","Sbicolor_v3.1.1",4,1198822,1098822,1298822,"Sbicolor_v3.1.1_Cd_4_1198822","Sobic.004G014000",1144517,1149986,"similar to Putative uncharacterized protein",4
"OG0000195","Zn","Athaliana_TAIR10",2,7417051,7342051,7492051,"Athaliana_TAIR10_Zn_2_7417051","AT2G17220",7487654,7490176,"Protein kinase superfamily protein",3
"OG0000195","Zn","Gmax_Wm82.a2.v1",2,48176165,47976165,48766582,"Gmax_Wm82.a2.v1_Zn_2_48176165","Glyma.02G311200",48461058,48464540,"",3
"OG0000195","Zn","Gmax_Wm82.a2.v1",9,42365399,42165399,42804035,"Gmax_Wm82.a2.v1_Zn_9_42365399","Glyma.09G198700",42305812,42310377,"PTHR27001:SF32 - INTERLEUKIN-1 RECEPTOR-ASSOCIATED KINASE 4 PROTEIN-RELATED (1 of 11)",3
"OG0000195","Zn","Gmax_Wm82.a2.v1",6,1215222,1015222,1470895,"Gmax_Wm82.a2.v1_Zn_6_1215222","Glyma.06G017600",1302639,1306266,"2.7.10.2//2.7.11.1 - Non-specific protein-tyrosine kinase / Cytoplasmic protein tyrosine kinase // Non-specific serine/threonine protein kinase / Threonine-specific protein kinase (1 of 47)",3
"OG0000195","Zn","Gmax_Wm82.a2.v1",9,42365399,42165399,42804035,"Gmax_Wm82.a2.v1_Zn_9_42365399","Glyma.09G198600",42299488,42299894,"PTHR27001:SF32 - INTERLEUKIN-1 RECEPTOR-ASSOCIATED KINASE 4 PROTEIN-RELATED (1 of 11)",3
"OG0000195","Zn","Gmax_Wm82.a2.v1",11,6485300,6285300,6685300,"Gmax_Wm82.a2.v1_Zn_11_6485300","Glyma.11G085300",6416003,6419893,"PTHR27001:SF32 - INTERLEUKIN-1 RECEPTOR-ASSOCIATED KINASE 4 PROTEIN-RELATED (1 of 11)",3
"OG0000195","Zn","Gmax_Wm82.a2.v1",11,6485300,6285300,6685300,"Gmax_Wm82.a2.v1_Zn_11_6485300","Glyma.11G085400",6422962,6427939,"",3
"OG0000195","Zn","Osativa_v7.0",6,30881885,30638885,31124892,"Osativa_v7.0_Zn_6_30881885","LOC_Os06g51170",30953028,30956664,"serine/threonine-protein kinase Cx32, chloroplast precursor, putative, expressed",3
"OG0000195","Zn","Osativa_v7.0",4,28222296,27979296,28465296,"Osativa_v7.0_Zn_4_28222296","LOC_Os04g47620",28262748,28265746,"protein kinase APK1B, chloroplast precursor, putative, expressed",3
"OG0001124","Fe","Gmax_Wm82.a2.v1",12,34480040,34280040,34824826,"Gmax_Wm82.a2.v1_Fe_12_34480040","Glyma.12G186400",34720712,34724838,"PTHR33986:SF3 - MITOCHONDRIAL FISSION PROTEIN ELM1 (1 of 4)",3
"OG0001124","Fe","Osativa_v7.0",2,19984132,19741132,20227379,"Osativa_v7.0_Fe_2_19984132","LOC_Os02g33230",19750113,19755163,"nucleoside-diphosphate-sugar epimerase, putative, expressed",3
"OG0001124","Fe","Sbicolor_v3.1.1",4,51653333,51553333,51753333,"Sbicolor_v3.1.1_Fe_4_51653333","Sobic.004G167200",51726006,51731422,"similar to Putative uncharacterized protein",3
"OG0006288","Mo","Athaliana_TAIR10",1,28749263,28674263,28826512,"Athaliana_TAIR10_Mo_1_28749263","AT1G76660",28768879,28771409,"",3
"OG0006288","Mo","Gmax_Wm82.a2.v1",17,41319215,41119215,41657489,"Gmax_Wm82.a2.v1_Mo_17_41319215","Glyma.17G262500",41595494,41600296,"",3
"OG0006288","Mo","Sbicolor_v3.1.1",9,56984594,56884594,57084594,"Sbicolor_v3.1.1_Mo_9_56984594","Sobic.009G229800",57038653,57041166,"",3
"OG0004734","Cd","Athaliana_TAIR10",5,22284894,22209894,22362703,"Athaliana_TAIR10_Cd_5_22284894","AT5G55070",22347211,22350817,"Dihydrolipoamide succinyltransferase",3
"OG0004734","Cd","Gmax_Wm82.a2.v1",14,1684906,1484906,2134681,"Gmax_Wm82.a2.v1_Cd_14_1684906","Glyma.14G022100",1555679,1561305,"",3
"OG0004734","Cd","Osativa_v7.0",4,19523922,19280922,19795672,"Osativa_v7.0_Cd_4_19523922","LOC_Os04g32330",19378282,19382778,"dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial precursor, putative, expressed",3
"OG0000092","Cd","Athaliana_TAIR10",5,17477406,17402406,17586265,"Athaliana_TAIR10_Cd_5_17477406","AT5G43380",17419819,17421982,"type one serine/threonine protein phosphatase 6",3
"OG0000092","Cd","Gmax_Wm82.a2.v1",3,44294480,44094480,44984092,"Gmax_Wm82.a2.v1_Cd_3_44294480","Glyma.03G251500",44723994,44729654,"PTHR11668:SF259 - SERINE/THREONINE-PROTEIN PHOSPHATASE PP1 ISOZYME 2-RELATED (1 of 8)",3
"OG0000092","Cd","Gmax_Wm82.a2.v1",2,562972,362972,1233638,"Gmax_Wm82.a2.v1_Cd_2_562972","Glyma.02G006000",653250,659153,"PTHR11668:SF259 - SERINE/THREONINE-PROTEIN PHOSPHATASE PP1 ISOZYME 2-RELATED (1 of 8)",3
"OG0000092","Cd","Gmax_Wm82.a2.v1",6,2040118,1840118,2240775,"Gmax_Wm82.a2.v1_Cd_6_2040118","Glyma.06G027300",2111883,2113374,"PTHR11668//PTHR11668:SF244 - SERINE/THREONINE PROTEIN PHOSPHATASE // SUBFAMILY NOT NAMED (1 of 1)",3
"OG0000092","Cd","Gmax_Wm82.a2.v1",10,40061118,39861118,40270025,"Gmax_Wm82.a2.v1_Cd_10_40061118","Glyma.10G166700",40114921,40120839,"PTHR11668:SF259 - SERINE/THREONINE-PROTEIN PHOSPHATASE PP1 ISOZYME 2-RELATED (1 of 8)",3
"OG0000092","Cd","Gmax_Wm82.a2.v1",2,43703500,43503500,44426448,"Gmax_Wm82.a2.v1_Cd_2_43703500","Glyma.02G251600",43879082,43882801,"PTHR11668:SF259 - SERINE/THREONINE-PROTEIN PHOSPHATASE PP1 ISOZYME 2-RELATED (1 of 8)",3
"OG0000092","Cd","Gmax_Wm82.a2.v1",19,49402473,49202473,49838030,"Gmax_Wm82.a2.v1_Cd_19_49402473","Glyma.19G248700",49493416,49499610,"PTHR11668:SF259 - SERINE/THREONINE-PROTEIN PHOSPHATASE PP1 ISOZYME 2-RELATED (1 of 8)",3
"OG0000092","Cd","Gmax_Wm82.a2.v1",5,39097797,38897797,39593484,"Gmax_Wm82.a2.v1_Cd_5_39097797","Glyma.05G212100",39356647,39360957,"PTHR11668:SF280 - SERINE/THREONINE-PROTEIN PHOSPHATASE PP1 ISOZYME 7 (1 of 5)",3
"OG0000092","Cd","Osativa_v7.0",2,35350740,35107740,36178679,"Osativa_v7.0_Cd_2_35350740","LOC_Os02g57450",35207612,35211426,"Ser/Thr protein phosphatase family protein, putative, expressed",3
"OG0000092","Cd","Osativa_v7.0",3,8799850,8556850,9042850,"Osativa_v7.0_Cd_3_8799850","LOC_Os03g16110",8884166,8889782,"Ser/Thr protein phosphatase family protein, putative, expressed",3
"OG0000092","Cu","Athaliana_TAIR10",3,1629227,1554227,1704408,"Athaliana_TAIR10_Cu_3_1629227","AT3G05580",1617847,1620120,"Calcineurin-like metallo-phosphoesterase superfamily protein",4
