Gene Name,Chromosome Name,Gene Start (bp),Gene End (bp),Description
LOC_Os06g11960,Chr6,6369182,6370694,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase, putative, expressed"
LOC_Os03g22720,Chr3,13122567,13124496,expressed protein
LOC_Os05g51520,Chr5,29545098,29546798,expressed protein
LOC_Os02g46320,Chr2,28233661,28237216,"glucosyltransferase, putative, expressed"
LOC_Os05g06840,Chr5,3580569,3585735,"POLE2A - Putative DNA polymerase epsilon complex subunit, expressed"
LOC_Os02g51030,Chr2,31210189,31212660,"methyltransferase domain containing protein, putative, expressed"
LOC_Os01g53570,Chr1,30764089,30766588,"aluminum-activated malate transporter, putative, expressed"
LOC_Os09g24650,Chr9,14671543,14676773,"zinc finger, C3HC4 type, putative, expressed"
LOC_Os02g03420,Chr2,1394865,1397141,"pentatricopeptide repeat-containing protein, putative, expressed"
LOC_Os01g12530,Chr1,6889351,6896414,"smr domain containing protein, expressed"
LOC_Os07g05330,Chr7,2429912,2434683,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os04g12460,Chr4,6889026,6894168,"Leucine Rich Repeat family protein, expressed"
LOC_Os05g23530,Chr5,13475753,13483212,expressed protein
LOC_Os03g28120,Chr3,16163989,16167050,"potassium channel protein, putative, expressed"
LOC_Os01g55520,Chr1,31986499,31989237,"ATROPGEF7/ROPGEF7, putative, expressed"
LOC_Os07g49140,Chr7,29431042,29435262,expressed protein
LOC_Os02g56460,Chr2,34564275,34566122,"dehydrogenase, putative, expressed"
LOC_Os03g35990,Chr3,19962654,19966598,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os05g24810,Chr5,14383486,14386267,expressed protein
LOC_Os01g55900,Chr1,32189931,32193462,"holliday junction resolvase, putative, expressed"
LOC_Os07g36050,Chr7,21561517,21562026,expressed protein
LOC_Os07g37210,Chr7,22293735,22295309,"MYB family transcription factor, putative, expressed"
LOC_Os05g16350,Chr5,9260635,9265193,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os07g08270,Chr7,4219935,4221821,expressed protein
LOC_Os09g26840,Chr9,16307780,16310837,expressed protein
LOC_Os01g12690,Chr1,7009033,7010505,"plant-specific domain TIGR01568 family protein, expressed"
LOC_Os04g33710,Chr4,20411176,20411922,expressed protein
LOC_Os08g44760,Chr8,28123294,28126636,"domain of unknown function DUF966 domain containing protein, expressed"
LOC_Os02g52430,Chr2,32088082,32090304,"regulator of ribonuclease, putative, expressed"
LOC_Os03g48950,Chr3,27877943,27882361,expressed protein
LOC_Os01g35580,Chr1,19681825,19686311,expressed protein
LOC_Os03g09930,Chr3,4946323,4953950,"sulfate transporter, putative, expressed"
LOC_Os07g22950,Chr7,12926448,12930711,"adenylate kinase isoenzyme 6, putative, expressed"
LOC_Os04g26420,Chr4,15403150,15405524,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os02g38420,Chr2,23235443,23235964,expressed protein
LOC_Os08g24790,Chr8,15008763,15009754,"AIR12, putative, expressed"
LOC_Os03g52010,Chr3,29844796,29847027,"lecithin cholesterol acyltransferase, putative, expressed"
LOC_Os01g45700,Chr1,25949356,25950201,expressed protein
LOC_Os09g07030,Chr9,3408880,3409122,expressed protein
LOC_Os11g26190,Chr11,14997419,14998182,"RALFL23 - Rapid ALkalinization Factor RALF family protein precursor, expressed"
LOC_Os06g13080,Chr6,7181648,7183586,"spotted leaf 11, putative, expressed"
LOC_Os08g38630,Chr8,24414279,24414845,conserved hypothetical protein
LOC_Os08g39220,Chr8,24772961,24775745,"OsWAK75 - OsWAK receptor-like protein kinase, expressed"
LOC_Os06g45240,Chr6,27335847,27339387,"inactive receptor kinase At2g26730 precursor, putative, expressed"
LOC_Os03g27290,Chr3,15637841,15642536,"cytochrome c oxidase subunit, putative, expressed"
LOC_Os01g47256,Chr1,27004253,27008038,"exosome complex exonuclease RRP40, putative, expressed"
LOC_Os06g17285,Chr6,10009622,10013501,"protein kinase, putative, expressed"
LOC_Os03g61290,Chr3,34802922,34807906,"ATCHX, putative, expressed"
LOC_Os12g37640,Chr12,23106121,23111532,"xaa-Pro aminopeptidase, putative, expressed"
LOC_Os10g30360,Chr10,15774570,15775465,MATH domain containing protein
LOC_Os06g49130,Chr6,29767892,29781103,"TAZ zinc finger family protein, expressed"
LOC_Os08g37480,Chr8,23741373,23747027,"mediator of RNA polymerase II transcription subunit 22, putative, expressed"
LOC_Os07g27960,Chr7,16306862,16309642,"thioesterase family protein, putative, expressed"
LOC_Os12g06820,Chr12,3317597,3319831,"PE repeat family protein, putative, expressed"
LOC_Os01g62970,Chr1,36479579,36484051,expressed protein
LOC_Os11g07440,Chr11,3739630,3743621,"plant neutral invertase domain containing protein, expressed"
LOC_Os12g29200,Chr12,17290218,17293159,"retrotransposon protein, putative, Ty3-gypsy subclass, expressed"
LOC_Os06g01690,Chr6,410926,413145,"septum site-determining protein minD, putative, expressed"
LOC_Os04g35940,Chr4,21912154,21914413,"OsFBX135 - F-box domain containing protein, expressed"
LOC_Os08g07970,Chr8,4505738,4514839,"transcription factor, putative, expressed"
LOC_Os06g04169,Chr6,1736249,1742581,"hydrolase, alpha/beta fold family domain containing protein, expressed"
LOC_Os03g53920,Chr3,30910865,30919482,"kinesin motor domain containing protein, putative, expressed"
LOC_Os06g04660,Chr6,2030467,2034813,"oxidoreductase, 2OG-Fe oxygenase family protein, putative, expressed"
LOC_Os03g13370,Chr3,7211429,7221257,"tetratricopeptide repeat domain containing protein, expressed"
LOC_Os02g48370,Chr2,29611156,29616291,"ARID/BRIGHT DNA-binding domain-containing protein, putative, expressed"
LOC_Os06g01500,Chr6,305994,308754,"IQ calmodulin-binding motif family protein, putative, expressed"
LOC_Os05g49430,Chr5,28342175,28345123,"aldose 1-epimerase, putative, expressed"
ChrSy.fgenesh.gene.31,ChrSy,220564,222853,hypothetical protein
LOC_Os07g14860,Chr7,8504408,8504853,expressed protein
LOC_Os04g37500,Chr4,22330188,22332565,"glutamate decarboxylase, putative, expressed"
LOC_Os02g33010,Chr2,19623033,19628774,expressed protein
LOC_Os06g13710,Chr6,7600956,7601522,"glycosyltransferase, putative, expressed"
LOC_Os08g31320,Chr8,19371612,19373491,expressed protein
LOC_Os07g39290,Chr7,23522446,23525322,"ruvB-like, putative, expressed"
LOC_Os08g44390,Chr8,27931449,27934376,"EF hand family protein, putative, expressed"
LOC_Os01g64660,Chr1,37519523,37522613,"fructose-1,6-bisphosphatase, putative, expressed"
LOC_Os01g06260,Chr1,2969154,2970731,expressed protein
LOC_Os08g01880,Chr8,539637,541617,"synaptobrevin-related family protein, putative, expressed"
LOC_Os04g43430,Chr4,25702074,25707506,"pentatricopeptide, putative, expressed"
LOC_Os08g40650,Chr8,25735566,25743180,"senescence-induced receptor-like serine/threonine-protein kinase precursor, putative, expressed"
LOC_Os10g35294,Chr10,18869929,18873090,"fiber protein Fb34, putative, expressed"
LOC_Os02g51840,Chr2,31754625,31758360,expressed protein
LOC_Os07g20544,Chr7,11865383,11874242,"aspartokinase, chloroplast precursor, putative, expressed"
LOC_Os06g46020,Chr6,27884598,27884981,expressed protein
LOC_Os11g06390,Chr11,3078859,3082212,"actin, putative, expressed"
LOC_Os11g16530,Chr11,9144177,9151398,"mal, putative, expressed"
LOC_Os04g47020,Chr4,27868078,27870370,"genetic modifier, putative, expressed"
LOC_Os07g14220,Chr7,8102315,8105232,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os05g34880,Chr5,20721494,20726052,"zinc finger, C3HC4 type family protein, expressed"
LOC_Os12g09010,Chr12,4712939,4713430,expressed protein
LOC_Os02g52270,Chr2,32001646,32003856,"heat shock protein DnaJ, putative, expressed"
LOC_Os03g18220,Chr3,10217796,10220748,"pyruvate decarboxylase isozyme 2, putative, expressed"
LOC_Os01g41010,Chr1,23224233,23226650,"DUF581 domain containing protein, expressed"
LOC_Os08g36910,Chr8,23340676,23343533,"alpha-amylase precursor, putative, expressed"
LOC_Os07g11150,Chr7,6146970,6152549,expressed protein
LOC_Os05g22370,Chr5,12675158,12686146,"N-acetylglucosaminyl transferase component, putative, expressed"
LOC_Os09g37520,Chr9,21630818,21636792,"DUF630/DUF632 domains containing protein, putative, expressed"
LOC_Os02g06770,Chr2,3415481,3418462,expressed protein
LOC_Os02g57050,Chr2,34934531,34936977,"diphthamide biosynthesis protein, putative, expressed"
LOC_Os11g30210,Chr11,17561346,17565177,"NBS-LRR type disease resistance protein, putative, expressed"
LOC_Os03g31440,Chr3,17914905,17916380,expressed protein
LOC_Os10g22270,Chr10,11523022,11523338,hypothetical protein
LOC_Os02g02070,Chr2,607541,608879,hypothetical protein
LOC_Os01g62460,Chr1,36158218,36161536,"ZOS1-16 - C2H2 zinc finger protein, expressed"
LOC_Os05g04050,Chr5,1826416,1826643,hypothetical protein
LOC_Os07g09290,Chr7,4865036,4866348,hypothetical protein
LOC_Os01g34060,Chr1,18755268,18756900,"MYB family transcription factor, putative, expressed"
LOC_Os07g06420,Chr7,3115457,3115675,expressed protein
LOC_Os03g62580,Chr3,35424469,35428153,"vacuolar sorting protein, putative, expressed"
LOC_Os05g40980,Chr5,24023536,24026206,"zinc finger, C3HC4 type domain containing protein, expressed"
LOC_Os12g09300,Chr12,4881029,4884888,"amino acid transporter, putative, expressed"
LOC_Os01g17180,Chr1,9878631,9885134,"proteasome subunit, putative, expressed"
LOC_Os01g33830,Chr1,18620775,18621263,expressed protein
LOC_Os05g08420,Chr5,4593197,4594041,expressed protein
LOC_Os04g33480,Chr4,20250089,20255825,"histone deacetylase, putative, expressed"
LOC_Os05g41190,Chr5,24127105,24128452,expressed protein
LOC_Os02g07350,Chr2,3792680,3796762,"inositol-1-monophosphatase, putative, expressed"
LOC_Os05g51570,Chr5,29579044,29580698,"vacuolar-processing enzyme precursor, putative, expressed"
LOC_Os08g30770,Chr8,18993288,18998958,"ABC transporter, ATP-binding protein, putative, expressed"
LOC_Os01g27080,Chr1,15100897,15105919,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os02g18420,Chr2,10721540,10721806,expressed protein
LOC_Os06g09560,Chr6,4867843,4870168,"heat shock protein DnaJ, putative, expressed"
LOC_Os02g47600,Chr2,29081821,29086715,"soluble inorganic pyrophosphatase, putative, expressed"
LOC_Os06g42060,Chr6,25268632,25270617,expressed protein
LOC_Os03g47990,Chr3,27283074,27286338,"OB-fold nucleic acid binding domain containing protein, putative, expressed"
LOC_Os01g61450,Chr1,35530743,35532555,expressed protein
LOC_Os06g02770,Chr6,1010096,1010680,expressed protein
LOC_Os02g10800,Chr2,5736604,5738853,"mitochondrial carrier protein, putative, expressed"
LOC_Os07g39510,Chr7,23673057,23676412,"yippee zinc-binding protein, putative, expressed"
LOC_Os01g35610,Chr1,19710068,19710442,expressed protein
LOC_Os01g18230,Chr1,10211391,10212188,"FAD-linked oxidoreductase protein, putative, expressed"
LOC_Os01g56200,Chr1,32367683,32371816,"BTBA2 - Bric-a-Brac,Tramtrack, Broad Complex BTB domain with Ankyrin repeat region, expressed"
LOC_Os01g16170,Chr1,9133519,9140430,"PQ loop repeat domain containing protein, expressed"
LOC_Os10g40584,Chr10,21742274,21742822,"zinc finger family protein, putative, expressed"
LOC_Os04g45750,Chr4,27077367,27080595,expressed protein
LOC_Os08g33840,Chr8,21185007,21186558,hypothetical protein
LOC_Os02g25820,Chr2,15130358,15131464,"B3 DNA binding domain containing protein, expressed"
LOC_Os06g40650,Chr6,24229308,24234795,"copine-1, putative, expressed"
LOC_Os02g13180,Chr2,7024790,7025386,"SKP1, putative, expressed"
LOC_Os05g23620,Chr5,13542982,13547537,"cytochrome c1-1, heme protein, mitochondrial precursor, putative, expressed"
LOC_Os05g41010,Chr5,24040970,24043906,"oxidoreductase, putative, expressed"
LOC_Os06g20354,Chr6,11693031,11695278,"PPR repeat domain containing protein, putative, expressed"
LOC_Os02g42620,Chr2,25639087,25641155,"protein kinase, putative, expressed"
LOC_Os01g33520,Chr1,18449996,18453053,"ulp1 protease family, C-terminal catalytic domain containing protein, expressed"
LOC_Os12g03470,Chr12,1359572,1366649,"alpha-N-arabinofuranosidase A, putative, expressed"
LOC_Os11g30930,Chr11,17994250,17996684,expressed protein
LOC_Os02g41850,Chr2,25156549,25161462,expressed protein
LOC_Os11g43790,Chr11,26453036,26453881,"DUF581 domain containing protein, expressed"
LOC_Os04g30410,Chr4,18149868,18153477,expressed protein
LOC_Os05g51390,Chr5,29470011,29474254,"uncharacterized protein PA4923, putative, expressed"
LOC_Os03g62330,Chr3,35309856,35310752,expressed protein
LOC_Os03g51440,Chr3,29426346,29430915,"LRR receptor-like protein kinase, putative, expressed"
LOC_Os07g24350,Chr7,13850974,13851583,"homeobox domain containing protein, expressed"
LOC_Os11g46060,Chr11,27882475,27882921,expressed protein
LOC_Os05g12640,Chr5,7255509,7257332,"BURP domain containing protein, expressed"
LOC_Os11g29830,Chr11,17316497,17316742,hypothetical protein
LOC_Os09g13560,Chr9,7862770,7866467,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os09g13260,Chr9,7651310,7652897,expressed protein
LOC_Os07g15950,Chr7,9266211,9266705,expressed protein
LOC_Os02g03940,Chr2,1672928,1676493,expressed protein
LOC_Os04g57620,Chr4,34292610,34296261,hypothetical protein
LOC_Os03g25910,Chr3,14832256,14833009,expressed protein
LOC_Os01g70100,Chr1,40566660,40569777,"zinc finger DHHC domain-containing protein, putative, expressed"
LOC_Os08g30080,Chr8,18491723,18493264,"1-aminocyclopropane-1-carboxylate oxidase homolog 4, putative, expressed"
LOC_Os09g13940,Chr9,8199884,8203350,"AP2 domain containing protein, expressed"
LOC_Os01g52190,Chr1,30015934,30017274,"aspartic proteinase nepenthesin precursor, putative, expressed"
LOC_Os08g04110,Chr8,1994483,1998899,"transporter, putative, expressed"
LOC_Os08g36960,Chr8,23381803,23383577,"OsFBX296 - F-box domain containing protein, expressed"
LOC_Os02g36540,Chr2,22065706,22067688,expressed protein
LOC_Os09g30180,Chr9,18364571,18368259,"OsFBX331 - F-box domain containing protein, expressed"
LOC_Os10g21450,Chr10,10983264,10984830,conserved hypothetical protein
LOC_Os05g50140,Chr5,28735044,28737929,"auxin efflux carrier component, putative, expressed"
LOC_Os11g11410,Chr11,6335893,6342309,"OsIAA27 - Auxin-responsive Aux/IAA gene family member, expressed"
LOC_Os06g10430,Chr6,5359508,5367120,"protein of unknown function DUF1296 domain containing protein, expressed"
LOC_Os02g12470,Chr2,6502150,6504010,hypothetical protein
LOC_Os02g15840,Chr2,8956014,8956691,hypothetical protein
LOC_Os05g03540,Chr5,1497856,1499646,expressed protein
LOC_Os10g19000,Chr10,9675061,9677278,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os03g31150,Chr3,17738066,17741592,expressed protein
LOC_Os05g02410,Chr5,791891,794673,expressed protein
LOC_Os01g20900,Chr1,11677483,11685307,"OsWAK4 - OsWAK receptor-like cytoplasmic kinase OsWAK-RLCK, expressed"
LOC_Os01g49670,Chr1,28541536,28545424,"cytidylyltransferase domain containing protein, expressed"
LOC_Os09g02000,Chr9,693263,693609,expressed protein
LOC_Os03g45970,Chr3,25978468,25990239,expressed protein
LOC_Os07g45330,Chr7,27043424,27046147,expressed protein
LOC_Os01g69990,Chr1,40483305,40489660,"GYF domain containing protein, putative, expressed"
LOC_Os12g14030,Chr12,7968889,7969149,hypothetical protein
LOC_Os09g39180,Chr9,22505003,22507555,"RNA recognition motif containing protein, putative, expressed"
LOC_Os09g18400,Chr9,11292526,11293538,expressed protein
LOC_Os03g10920,Chr3,5609827,5612739,"syntaxin 6, N-terminal domain containing protein, expressed"
LOC_Os01g27660,Chr1,15426823,15430588,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os11g04750,Chr11,2024431,2025650,expressed protein
LOC_Os01g07590,Chr1,3645587,3650362,"universal stress protein domain containing protein, putative, expressed"
LOC_Os07g05180,Chr7,2311418,2311912,"Skp1 family, dimerisation domain containing protein, expressed"
LOC_Os05g01450,Chr5,259953,262291,"eukaryotic translation initiation factor 3 subunit F, putative, expressed"
LOC_Os02g46480,Chr2,28332931,28335404,expressed protein
LOC_Os08g27540,Chr8,16797541,16800910,expressed protein
LOC_Os02g36490,Chr2,22038604,22042021,expressed protein
LOC_Os11g28300,Chr11,16275314,16279935,"uncharacterized protein family UPF0016 domain containing protein, expressed"
LOC_Os06g29870,Chr6,17209894,17211707,"far1-like, putative"
LOC_Os04g46130,Chr4,27333688,27335203,"plastocyanin-like domain containing protein, putative, expressed"
LOC_Os12g06450,Chr12,3096620,3097102,expressed protein
LOC_Os12g35570,Chr12,21625447,21629707,"tRNA synthetase, putative, expressed"
LOC_Os09g28570,Chr9,17377008,17388960,"zinc-binding alcohol dehydrogenase domain-containing protein 2, putative, expressed"
LOC_Os02g28465,Chr2,16831620,16834298,expressed protein
LOC_Os03g38070,Chr3,21132354,21135177,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os06g16620,Chr6,9552315,9552656,expressed protein
LOC_Os01g13150,Chr1,7325145,7332536,"metallo-beta-lactamase family protein, putative, expressed"
LOC_Os09g16060,Chr9,9807844,9809073,expressed protein
LOC_Os09g22020,Chr9,13336077,13339131,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os12g24330,Chr12,13885480,13888224,expressed protein
LOC_Os11g22030,Chr11,12668599,12671200,"retrotransposon protein, putative, unclassified"
LOC_Os04g44010,Chr4,26084656,26086810,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os07g23790,Chr7,13436679,13440199,expressed protein
LOC_Os11g11620,Chr11,6462223,6465280,"ZmEBE-1 protein, putative, expressed"
LOC_Os11g14520,Chr11,8154750,8158255,expressed protein
LOC_Os03g63440,Chr3,35840621,35843776,"frigida, putative, expressed"
LOC_Os08g16130,Chr8,9830986,9834051,"fiber protein Fb34, putative, expressed"
LOC_Os04g46610,Chr4,27633179,27637907,"PAP fibrillin family domain containing protein, expressed"
LOC_Os11g24230,Chr11,13795743,13798680,expressed protein
LOC_Os02g22680,Chr2,13505264,13507436,"integral membrane protein DUF6 containing protein, expressed"
LOC_Os08g32140,Chr8,19942749,19944856,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os09g26320,Chr9,15910195,15911057,"hypro1, putative, expressed"
LOC_Os01g51140,Chr1,29382534,29385653,"helix-loop-helix DNA-binding domain containing protein, expressed"
LOC_Os01g35170,Chr1,19466274,19469025,"tRNA methyltransferase, putative, expressed"
LOC_Os01g43110,Chr1,24592512,24596220,expressed protein
LOC_Os08g15060,Chr8,9101238,9105746,"ATP binding protein, putative, expressed"
LOC_Os10g40120,Chr10,21479425,21482015,"U-box domain containing protein, expressed"
LOC_Os12g06330,Chr12,3024060,3029413,"CPuORF6 - conserved peptide uORF-containing transcript, expressed"
LOC_Os09g36190,Chr9,20862473,20866761,"glycosyl transferase family 8, putative, expressed"
LOC_Os06g30950,Chr6,18002577,18009405,"transporter-related, putative, expressed"
LOC_Os01g41050,Chr1,23247278,23250623,"sulfate transporter, putative, expressed"
LOC_Os07g41140,Chr7,24621064,24624910,"receptor-like protein kinase precursor, putative, expressed"
LOC_Os04g16980,Chr4,9293927,9295773,expressed protein
LOC_Os06g29240,Chr6,16687151,16687942,expressed protein
LOC_Os03g57760,Chr3,32911203,32915158,"25.3 kDa vesicle transport protein, putative, expressed"
LOC_Os02g22374,Chr2,13361034,13364228,expressed protein
LOC_Os04g49970,Chr4,29809222,29810808,"U-box, putative, expressed"
LOC_Os04g40330,Chr4,23976077,23979533,"OsFBX141 - F-box domain containing protein, expressed"
LOC_Os06g10930,Chr6,5712154,5714660,"xyloglucan fucosyltransferase, putative, expressed"
LOC_Os03g06850,Chr3,3469653,3471023,"B3 DNA binding domain containing protein, expressed"
LOC_Os08g14710,Chr8,8840968,8844071,expressed protein
LOC_Os08g26230,Chr8,15984166,15991648,expressed protein
LOC_Os02g11960,Chr2,6197353,6204374,"ABC transporter, ATP-binding protein, putative, expressed"
LOC_Os03g57120,Chr3,32566457,32569616,"ferredoxin--NADP reductase, chloroplast precursor, putative, expressed"
LOC_Os01g54580,Chr1,31394832,31400091,"transporter family protein, putative, expressed"
LOC_Os12g10480,Chr12,5555903,5557175,hypothetical protein
LOC_Os02g38020,Chr2,22971563,22975296,"inorganic phosphate transporter 2-1, chloroplast precursor, putative, expressed"
LOC_Os02g03100,Chr2,1227308,1230217,"oxidoreductase, aldo/keto reductase family protein, putative, expressed"
LOC_Os04g29550,Chr4,17560646,17561444,"RIPER2 - Ripening-related family protein precursor, expressed"
LOC_Os08g43480,Chr8,27502289,27504972,"zinc finger, C3HC4 type family protein, expressed"
LOC_Os10g18340,Chr10,9315456,9316347,expressed protein
LOC_Os10g32730,Chr10,17133152,17137862,"haloacid dehalogenase-like hydrolase domain-containing protein 1A, putative, expressed"
LOC_Os06g47120,Chr6,28555632,28557912,expressed protein
LOC_Os01g31124,Chr1,17024731,17025632,expressed protein
LOC_Os03g53650,Chr3,30760004,30763963,"cysteine synthase, putative, expressed"
LOC_Os05g34120,Chr5,20164335,20166643,expressed protein
LOC_Os03g32430,Chr3,18544233,18545103,expressed protein
LOC_Os01g57004,Chr1,32934209,32934997,"adhesive/proline-rich protein, putative, expressed"
LOC_Os04g30930,Chr4,18490353,18494159,"NB-ARC domain containing protein, expressed"
LOC_Os03g43280,Chr3,24129970,24133662,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os10g42800,Chr10,23083220,23086585,"AMP-binding enzyme, putative, expressed"
LOC_Os03g56682,Chr3,32288739,32289469,DEFL40 - Defensin and Defensin-like DEFL family
LOC_Os01g29430,Chr1,16495357,16503329,"tetratricopeptide-like helical, putative, expressed"
