"loci","Orthogroup","trait","org","Chromosome Name","bp","start","end","Gene Name","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Athaliana_TAIR10_Na_4_15718426","OG0000263","Na","Athaliana_TAIR10",4,15718426,15643426,15793426,"AT4G32710",15781045,15783461,"Protein kinase superfamily protein",4,1,0,0.303733333333333,0.557013333333333,0.557013333333333
"Athaliana_TAIR10_Na_5_14558112","OG0005320","Na","Athaliana_TAIR10",5,14558112,14483112,14633887,"AT5G36880",14534613,14540299,"acetyl-CoA synthetase",4,1,0,0.303733333333333,0.557013333333333,0.557013333333333
"Gmax_Wm82.a2.v1_Na_16_36444678","OG0006668","Na","Gmax_Wm82.a2.v1",16,36444678,36244678,37258810,"Glyma.16G212700",37087075,37089396,"K03009 - DNA-directed RNA polymerases I, II, and III subunit RPABC4 (RPB12, POLR2K)  (1 of 2)",4,2,0.5,0.236296296296296,0.305481481481482,0.549866666666667
"Gmax_Wm82.a2.v1_Na_18_46712826","OG0000391","Na","Gmax_Wm82.a2.v1",18,46712826,46512826,48207001,"Glyma.18G198300",47598384,47601202,"PTHR19139:SF169 - AQUAPORIN PIP1-4-RELATED (1 of 7)",4,2,0.5,0.236296296296296,0.305481481481482,0.549866666666667
"Gmax_Wm82.a2.v1_Na_19_1855442","OG0000040","Na","Gmax_Wm82.a2.v1",19,1855442,1655442,2248273,"Glyma.19G019200",2051713,2060086,"PTHR24093:SF264 - ATPASE 4, PLASMA MEMBRANE-TYPE (1 of 6)",4,2,0.5,0.236296296296296,0.305481481481482,0.549866666666667
"Gmax_Wm82.a2.v1_Na_19_35805121","OG0005320","Na","Gmax_Wm82.a2.v1",19,35805121,35605121,36163637,"Glyma.19G107300",35879955,35888760,"",4,2,0.5,0.236296296296296,0.305481481481482,0.549866666666667
"Gmax_Wm82.a2.v1_Na_5_1323486","OG0000582","Na","Gmax_Wm82.a2.v1",5,1323486,1123486,1525450,"Glyma.05G013700",1305890,1306674,"",4,2,0.5,0.236296296296296,0.305481481481482,0.549866666666667
"Gmax_Wm82.a2.v1_Na_12_32431915","OG0000174","Na","Gmax_Wm82.a2.v1",12,32431915,32231915,32634240,"Glyma.12G169800",32462354,32467301,"PTHR24343:SF101 - SERINE/THREONINE-PROTEIN KINASE SRK2A-RELATED (1 of 4)",4,3,0.666666666666667,0.236296296296296,0.203654320987654,0.529501234567901
"Gmax_Wm82.a2.v1_Na_14_4487163","OG0000391","Na","Gmax_Wm82.a2.v1",14,4487163,4287163,5841328,"Glyma.14G061500",4978299,4980309,"PTHR19139:SF169 - AQUAPORIN PIP1-4-RELATED (1 of 7)",4,3,0.666666666666667,0.236296296296296,0.203654320987654,0.529501234567901
"Gmax_Wm82.a2.v1_Na_15_1735782","OG0000128","Na","Gmax_Wm82.a2.v1",15,1735782,1535782,2181978,"Glyma.15G021300",1635954,1641074,"",4,3,0.666666666666667,0.236296296296296,0.203654320987654,0.529501234567901
"Gmax_Wm82.a2.v1_Na_1_54681333","OG0000391","Na","Gmax_Wm82.a2.v1",1,54681333,54481333,55195177,"Glyma.01G220600",54974523,54976556,"PTHR19139:SF169 - AQUAPORIN PIP1-4-RELATED (1 of 7)",4,3,0.666666666666667,0.236296296296296,0.203654320987654,0.529501234567901
"Gmax_Wm82.a2.v1_Na_20_41389061","OG0001189","Na","Gmax_Wm82.a2.v1",20,41389061,41189061,41600730,"Glyma.20G175800",41315163,41320478,"PTHR23201:SF7 - GIBBERELLIN-REGULATED PROTEIN 2-RELATED (1 of 3)",4,3,0.666666666666667,0.236296296296296,0.203654320987654,0.529501234567901
"Gmax_Wm82.a2.v1_Na_4_2118956","OG0001189","Na","Gmax_Wm82.a2.v1",4,2118956,1918956,2318956,"Glyma.04G024400",1947786,1949039,"PTHR23201:SF2 - GIBBERELLIN-REGULATED PROTEIN 1-RELATED (1 of 5)",4,3,0.666666666666667,0.236296296296296,0.203654320987654,0.529501234567901
"Sbicolor_v3.1.1_Na_3_73716603","OG0000040","Na","Sbicolor_v3.1.1",3,73716603,73616603,73816603,"Sobic.003G436400",73733450,73738207,"similar to Cation-transporting ATPase",4,2,0.5,0.274285714285714,0.290285714285714,0.522514285714286
"Sbicolor_v3.1.1_Na_8_56248491","OG0000128","Na","Sbicolor_v3.1.1",8,56248491,56148491,56348491,"Sobic.008G134300",56269822,56285958,"PF07714//PF12819//PF13855 - Protein tyrosine kinase (Pkinase_Tyr)  // Carbohydrate-binding protein of the ER (Malectin_like)  // Leucine rich repeat (LRR_8)  (1 of 9)",4,2,0.5,0.274285714285714,0.290285714285714,0.522514285714286
"Sbicolor_v3.1.1_Na_8_56248491","OG0000128","Na","Sbicolor_v3.1.1",8,56248491,56148491,56348491,"Sobic.008G134500",56299336,56305370,"2.7.10.1//2.7.11.1 - Receptor protein-tyrosine kinase / Receptor protein tyrosine kinase // Non-specific serine/threonine protein kinase / Threonine-specific protein kinase (1 of 33)",4,2,0.5,0.274285714285714,0.290285714285714,0.522514285714286
"Sbicolor_v3.1.1_Na_8_59365024","OG0004626","Na","Sbicolor_v3.1.1",8,59365024,59265024,59465024,"Sobic.008G161000",59435965,59439528,"similar to Putative uncharacterized protein",4,2,0.5,0.274285714285714,0.290285714285714,0.522514285714286
"Gmax_Wm82.a2.v1_Na_6_12980012","OG0000174","Na","Gmax_Wm82.a2.v1",6,12980012,12780012,13327505,"Glyma.06G160100",13210422,13214017,"PTHR24343:SF161 - SERINE/THREONINE-PROTEIN KINASE SRK2J (1 of 4)",4,4,0.75,0.236296296296296,0.152740740740741,0.519318518518519
"Gmax_Wm82.a2.v1_Na_7_11431180","OG0000040","Na","Gmax_Wm82.a2.v1",7,11431180,11231180,13267450,"Glyma.07G113500",11810891,11818866,"PTHR24093:SF327 - ATPASE 11, PLASMA MEMBRANE-TYPE (1 of 3)",4,4,0.75,0.236296296296296,0.152740740740741,0.519318518518519
"Gmax_Wm82.a2.v1_Na_9_41157632","OG0000263","Na","Gmax_Wm82.a2.v1",9,41157632,40957632,41783804,"Glyma.09G191300",41601397,41605614,"PTHR27001:SF89 - PROLINE-RICH RECEPTOR-LIKE PROTEIN KINASE PERK1-RELATED (1 of 4)",4,4,0.75,0.236296296296296,0.152740740740741,0.519318518518519
"Gmax_Wm82.a2.v1_Na_11_1170503","OG0000391","Na","Gmax_Wm82.a2.v1",11,1170503,970503,2082993,"Glyma.11G023200",1665080,1667259,"PTHR19139:SF169 - AQUAPORIN PIP1-4-RELATED (1 of 7)",4,5,0.8,0.236296296296296,0.122192592592593,0.513208888888889
"Gmax_Wm82.a2.v1_Na_1_55504171","OG0004626","Na","Gmax_Wm82.a2.v1",1,55504171,55304171,57030220,"Glyma.01G236100",56151529,56155582,"PTHR23257//PTHR23257:SF429 - SERINE-THREONINE PROTEIN KINASE // SUBFAMILY NOT NAMED (1 of 4)",4,5,0.8,0.236296296296296,0.122192592592593,0.513208888888889
"Gmax_Wm82.a2.v1_Na_7_8084387","OG0000263","Na","Gmax_Wm82.a2.v1",7,8084387,7884387,9718828,"Glyma.07G085600",7891876,7896291,"PTHR27001:SF89 - PROLINE-RICH RECEPTOR-LIKE PROTEIN KINASE PERK1-RELATED (1 of 4)",4,5,0.8,0.236296296296296,0.122192592592593,0.513208888888889
"Gmax_Wm82.a2.v1_Na_14_47982772","OG0001189","Na","Gmax_Wm82.a2.v1",14,47982772,47782772,49197963,"Glyma.14G219100",48413706,48414843,"PTHR23201:SF2 - GIBBERELLIN-REGULATED PROTEIN 1-RELATED (1 of 5)",4,7,0.857142857142857,0.236296296296296,0.0872804232804232,0.506226455026455
"Sbicolor_v3.1.1_Na_10_370834","OG0000426","Na","Sbicolor_v3.1.1",10,370834,270834,470834,"Sobic.010G003700",312524,314071,"similar to Os06g0105200 protein",4,3,0.666666666666667,0.274285714285714,0.19352380952381,0.503161904761905
"Sbicolor_v3.1.1_Na_10_7530782","OG0000391","Na","Sbicolor_v3.1.1",10,7530782,7430782,7798383,"Sobic.010G087900",7521029,7522397,"similar to Aquaporin PIP1-6",4,3,0.666666666666667,0.274285714285714,0.19352380952381,0.503161904761905
"Athaliana_TAIR10_Na_1_23198156","OG0001054","Na","Athaliana_TAIR10",1,23198156,23123156,23273399,"AT1G62520",23144412,23145509,"",4,2,0.5,0.303733333333333,0.278506666666667,0.501312
"Athaliana_TAIR10_Na_2_8051388","OG0000263","Na","Athaliana_TAIR10",2,8051388,7976388,8126388,"AT2G18470",8005285,8008052,"roline-rich extensin-like receptor kinase 4",4,2,0.5,0.303733333333333,0.278506666666667,0.501312
"Athaliana_TAIR10_Na_2_8051388","OG0001189","Na","Athaliana_TAIR10",2,8051388,7976388,8126388,"AT2G18420",7993801,7994554,"Gibberellin-regulated family protein",4,2,0.5,0.303733333333333,0.278506666666667,0.501312
"Gmax_Wm82.a2.v1_Na_17_11078932","OG0000174","Na","Gmax_Wm82.a2.v1",17,11078932,10878932,12780848,"Glyma.17G148800",12323652,12327799,"",4,10,0.9,0.236296296296296,0.0610962962962963,0.50098962962963
"Gmax_Wm82.a2.v1_Na_17_11078932","OG0001054","Na","Gmax_Wm82.a2.v1",17,11078932,10878932,12780848,"Glyma.17G139000",11279687,11281242,"",4,10,0.9,0.236296296296296,0.0610962962962963,0.50098962962963
"Sbicolor_v3.1.1_Na_7_7667152","OG0006668","Na","Sbicolor_v3.1.1",7,7667152,7567152,7767152,"Sobic.007G068800",7678320,7682317,"similar to Chromosome undetermined scaffold_712, whole genome shotgun sequence",4,4,0.75,0.274285714285714,0.145142857142857,0.493485714285714
"Osativa_v7.0_Na_3_24645346","OG0004626","Na","Osativa_v7.0",3,24645346,24402346,24888346,"LOC_Os03g43760",24476011,24480930,"protein kinase domain containing protein, expressed",4,3,0.666666666666667,0.290285714285714,0.189257142857143,0.492068571428572
"Osativa_v7.0_Na_5_7356242","OG0000263","Na","Osativa_v7.0",5,7356242,7113242,7599242,"LOC_Os05g12680",7279332,7284670,"retrotransposon protein, putative, unclassified, expressed",4,3,0.666666666666667,0.290285714285714,0.189257142857143,0.492068571428572
"Athaliana_TAIR10_Na_3_6344931","OG0000582","Na","Athaliana_TAIR10",3,6344931,6269931,6419931,"AT3G18560",6393910,6394785,"",4,3,0.666666666666667,0.303733333333333,0.185671111111111,0.482744888888889
"Osativa_v7.0_Na_12_23492938","OG0000128","Na","Osativa_v7.0",12,23492938,23249938,23762618,"LOC_Os12g37980",23337900,23344845,"protein kinase domain containing protein, expressed",4,4,0.75,0.290285714285714,0.141942857142857,0.482605714285714
"Sbicolor_v3.1.1_Na_4_51082254","OG0005320","Na","Sbicolor_v3.1.1",4,51082254,50982254,51182254,"Sobic.004G161900",51099644,51106292,"similar to Putative acetyl-CoA synthetase",4,7,0.857142857142857,0.274285714285714,0.0829387755102041,0.481044897959184
"Sbicolor_v3.1.1_Na_9_50615928","OG0000174","Na","Sbicolor_v3.1.1",9,50615928,50515928,50715928,"Sobic.009G149900",50649443,50654387,"similar to Serine/threonine-protein kinase SAPK4",4,9,0.888888888888889,0.274285714285714,0.0645079365079365,0.47735873015873
"Sbicolor_v3.1.1_Na_9_50615928","OG0001189","Na","Sbicolor_v3.1.1",9,50615928,50515928,50715928,"Sobic.009G149100",50616017,50616978,"similar to Putative uncharacterized protein",4,9,0.888888888888889,0.274285714285714,0.0645079365079365,0.47735873015873
"Osativa_v7.0_Na_3_27667576","OG0000040","Na","Osativa_v7.0",3,27667576,27424576,27910607,"LOC_Os03g48310",27510164,27517321,"plasma membrane ATPase, putative, expressed",4,5,0.8,0.290285714285714,0.113554285714286,0.476928
"Sbicolor_v3.1.1_Na_4_60747876","OG0000582","Na","Sbicolor_v3.1.1",4,60747876,60647876,60847876,"Sobic.004G263000",60810761,60811776,"similar to Putative uncharacterized protein",4,11,0.909090909090909,0.274285714285714,0.0527792207792208,0.475012987012987
"Sbicolor_v3.1.1_Na_4_60747876","OG0000582","Na","Sbicolor_v3.1.1",4,60747876,60647876,60847876,"Sobic.004G262900",60807490,60808063,"similar to Putative uncharacterized protein",4,11,0.909090909090909,0.274285714285714,0.0527792207792208,0.475012987012987
"Athaliana_TAIR10_Na_1_18170635","OG0000582","Na","Athaliana_TAIR10",1,18170635,18095635,18245635,"AT1G49000",18123459,18124165,"",4,4,0.75,0.303733333333333,0.139253333333333,0.473461333333333
"Athaliana_TAIR10_Na_4_8417912","OG0004626","Na","Athaliana_TAIR10",4,8417912,8342912,8492912,"AT4G14780",8492832,8494591,"Protein kinase superfamily protein",4,4,0.75,0.303733333333333,0.139253333333333,0.473461333333333
"Athaliana_TAIR10_Na_4_94254","OG0000128","Na","Athaliana_TAIR10",4,94254,19254,169272,"AT4G00280",122409,122851,"",4,4,0.75,0.303733333333333,0.139253333333333,0.473461333333333
"Athaliana_TAIR10_Na_4_94254","OG0000426","Na","Athaliana_TAIR10",4,94254,19254,169272,"AT4G00150",57199,59286,"GRAS family transcription factor",4,4,0.75,0.303733333333333,0.139253333333333,0.473461333333333
"Osativa_v7.0_Na_5_3164465","OG0006668","Na","Osativa_v7.0",5,3164465,2921465,3610563,"LOC_Os05g05980",2987124,2991129,"DNA directed RNA polymerase, 7 kDa subunit domain containing protein, expressed",4,8,0.875,0.290285714285714,0.0709714285714286,0.468411428571429
"Athaliana_TAIR10_Na_1_28455409","OG0001189","Na","Athaliana_TAIR10",1,28455409,28380409,28582790,"AT1G75750",28441526,28442429,"GAST1 protein homolog 1",4,5,0.8,0.303733333333333,0.111402666666667,0.4678912
"Athaliana_TAIR10_Na_5_16257802","OG0006668","Na","Athaliana_TAIR10",5,16257802,16182802,16439680,"AT5G41010",16424050,16424952,"DNA directed RNA polymerase, 7 kDa subunit",4,5,0.8,0.303733333333333,0.111402666666667,0.4678912
"Osativa_v7.0_Na_2_26972497","OG0000391","Na","Osativa_v7.0",2,26972497,26729497,27215497,"LOC_Os02g44630",27044319,27047453,"aquaporin protein, putative, expressed",4,9,0.888888888888889,0.290285714285714,0.0630857142857143,0.466834285714286
"Osativa_v7.0_Na_2_26972497","OG0001054","Na","Osativa_v7.0",2,26972497,26729497,27215497,"LOC_Os02g44280",26789991,26790875,"zinc finger protein, putative, expressed",4,9,0.888888888888889,0.290285714285714,0.0630857142857143,0.466834285714286
"Osativa_v7.0_Na_2_26972497","OG0000426","Na","Osativa_v7.0",2,26972497,26729497,27215497,"LOC_Os02g44360",26841585,26844331,"scarecrow transcription factor family protein, putative, expressed",4,9,0.888888888888889,0.290285714285714,0.0630857142857143,0.466834285714286
"Osativa_v7.0_Na_2_26972497","OG0000426","Na","Osativa_v7.0",2,26972497,26729497,27215497,"LOC_Os02g44370",26852079,26855064,"scarecrow, putative, expressed",4,9,0.888888888888889,0.290285714285714,0.0630857142857143,0.466834285714286
"Osativa_v7.0_Na_2_19205346","OG0005320","Na","Osativa_v7.0",2,19205346,18962346,19474181,"LOC_Os02g32490",19219019,19225151,"AMP-binding enzyme, putative, expressed",4,11,0.909090909090909,0.290285714285714,0.0516155844155844,0.46454025974026
"Athaliana_TAIR10_Na_1_5976246","OG0000040","Na","Athaliana_TAIR10",1,5976246,5901246,6051246,"AT1G17260",5904058,5908898,"autoinhibited H(+)-ATPase isoform 10",4,6,0.833333333333333,0.303733333333333,0.0928355555555555,0.464177777777778
"Osativa_v7.0_Na_5_21166437","OG0000174","Na","Osativa_v7.0",5,21166437,20923437,21409437,"LOC_Os05g35770",21229424,21231030,"serine/threonine-protein kinase SAPK4, putative, expressed",4,15,0.933333333333333,0.290285714285714,0.0378514285714286,0.461787428571429
"Osativa_v7.0_Na_5_21166437","OG0000174","Na","Osativa_v7.0",5,21166437,20923437,21409437,"LOC_Os05g35760",21224846,21226727,"serine/threonine-protein kinase SAPK4, putative, expressed",4,15,0.933333333333333,0.290285714285714,0.0378514285714286,0.461787428571429
"Osativa_v7.0_Na_5_21166437","OG0001189","Na","Osativa_v7.0",5,21166437,20923437,21409437,"LOC_Os05g35690",21198101,21198992,"GASR6 - Gibberellin-regulated GASA/GAST/Snakin family protein precursor, expressed",4,15,0.933333333333333,0.290285714285714,0.0378514285714286,0.461787428571429
"Athaliana_TAIR10_Na_1_22404281","OG0000174","Na","Athaliana_TAIR10",1,22404281,22329281,22616027,"AT1G60940",22439123,22442217,"SNF1-related protein kinase 2.10",4,8,0.875,0.303733333333333,0.0696266666666667,0.459536
"Osativa_v7.0_Na_2_29595108","OG0000582","Na","Osativa_v7.0",2,29595108,29352108,30746030,"LOC_Os02g48150",29471417,29472575,"expressed protein",4,32,0.96875,0.290285714285714,0.0177428571428571,0.457765714285714
"Sbicolor_v3.1.1_Na_10_57815884","OG0000875","Na","Sbicolor_v3.1.1",10,57815884,57715884,57915884,"Sobic.010G235000",57751593,57760184,"similar to Putative external rotenone-insensitive NADPH dehydrogenase",3,1,0,0.397783505154639,0.361329896907216,0.361329896907216
"Sbicolor_v3.1.1_Na_2_59615094","OG0002807","Na","Sbicolor_v3.1.1",2,59615094,59515094,59715094,"Sobic.002G205600",59711920,59719435,"",3,1,0,0.397783505154639,0.361329896907216,0.361329896907216
"Sbicolor_v3.1.1_Na_2_72615397","OG0001953","Na","Sbicolor_v3.1.1",2,72615397,72515397,72715397,"Sobic.002G367100",72683938,72687311,"similar to Putative uncharacterized protein OSJNBb0018H10.21",3,1,0,0.397783505154639,0.361329896907216,0.361329896907216
"Sbicolor_v3.1.1_Na_3_5452469","OG0000440","Na","Sbicolor_v3.1.1",3,5452469,5352469,5552469,"Sobic.003G061300",5388274,5393403,"similar to Chromosome chr8 scaffold_115, whole genome shotgun sequence",3,1,0,0.397783505154639,0.361329896907216,0.361329896907216
"Sbicolor_v3.1.1_Na_3_6333085","OG0008728","Na","Sbicolor_v3.1.1",3,6333085,6233085,6433085,"Sobic.003G075200",6379303,6381984,"similar to Putative uncharacterized protein",3,1,0,0.397783505154639,0.361329896907216,0.361329896907216
"Sbicolor_v3.1.1_Na_5_18704202","OG0003217","Na","Sbicolor_v3.1.1",5,18704202,18604202,18804202,"Sobic.005G104500",18750457,18762437,"similar to Phosphatidylinositol 4-kinase, putative, expressed",3,1,0,0.397783505154639,0.361329896907216,0.361329896907216
"Sbicolor_v3.1.1_Na_7_59043265","OG0003240","Na","Sbicolor_v3.1.1",7,59043265,58943265,59143265,"Sobic.007G156900",59126493,59128091,"Predicted protein",3,1,0,0.397783505154639,0.361329896907216,0.361329896907216
"Sbicolor_v3.1.1_Na_7_63709647","OG0002755","Na","Sbicolor_v3.1.1",7,63709647,63609647,63809647,"Sobic.007G209100",63790679,63792243,"similar to Putative uncharacterized protein",3,1,0,0.397783505154639,0.361329896907216,0.361329896907216
"Sbicolor_v3.1.1_Na_8_60944525","OG0003748","Na","Sbicolor_v3.1.1",8,60944525,60844525,61044525,"Sobic.008G175100",60938197,60940042,"similar to Putative uncharacterized protein",3,1,0,0.397783505154639,0.361329896907216,0.361329896907216
"Sbicolor_v3.1.1_Na_1_56731423","OG0004588","Na","Sbicolor_v3.1.1",1,56731423,56631423,56831423,"Sobic.001G290400",56734176,56737254,"similar to No apical meristem, putative, expressed",3,2,0.5,0.397783505154639,0.180664948453608,0.325196907216495
"Sbicolor_v3.1.1_Na_1_56731423","OG0008734","Na","Sbicolor_v3.1.1",1,56731423,56631423,56831423,"Sobic.001G290500",56750860,56755225,"similar to Pyruvate kinase",3,2,0.5,0.397783505154639,0.180664948453608,0.325196907216495
"Sbicolor_v3.1.1_Na_2_67197978","OG0011155","Na","Sbicolor_v3.1.1",2,67197978,67097978,67297978,"Sobic.002G293200",67116410,67119711,"similar to Os09g0556000 protein",3,2,0.5,0.397783505154639,0.180664948453608,0.325196907216495
"Sbicolor_v3.1.1_Na_2_67197978","OG0000208","Na","Sbicolor_v3.1.1",2,67197978,67097978,67297978,"Sobic.002G294200",67201748,67205672,"similar to Os09g0557800 protein",3,2,0.5,0.397783505154639,0.180664948453608,0.325196907216495
"Sbicolor_v3.1.1_Na_2_68561511","OG0004438","Na","Sbicolor_v3.1.1",2,68561511,68461511,68661511,"Sobic.002G311100",68486586,68493550,"similar to Putative uncharacterized protein",3,2,0.5,0.397783505154639,0.180664948453608,0.325196907216495
"Sbicolor_v3.1.1_Na_2_68561511","OG0003988","Na","Sbicolor_v3.1.1",2,68561511,68461511,68661511,"Sobic.002G312700",68613717,68619617,"similar to Myosin heavy chain-like protein",3,2,0.5,0.397783505154639,0.180664948453608,0.325196907216495
"Sbicolor_v3.1.1_Na_2_9354694","OG0001309","Na","Sbicolor_v3.1.1",2,9354694,9254694,9454694,"Sobic.002G090200",9422160,9425290,"similar to Os07g0245100 protein",3,2,0.5,0.397783505154639,0.180664948453608,0.325196907216495
"Sbicolor_v3.1.1_Na_2_9354694","OG0000780","Na","Sbicolor_v3.1.1",2,9354694,9254694,9454694,"Sobic.002G088400",9298357,9300005,"PTHR23029:SF26 - PROTEIN Y18H1A.4-RELATED (1 of 1)",3,2,0.5,0.397783505154639,0.180664948453608,0.325196907216495
"Sbicolor_v3.1.1_Na_3_53776991","OG0003470","Na","Sbicolor_v3.1.1",3,53776991,53676991,53876991,"Sobic.003G207500",53800994,53807598,"",3,2,0.5,0.397783505154639,0.180664948453608,0.325196907216495
"Sbicolor_v3.1.1_Na_3_53776991","OG0011507","Na","Sbicolor_v3.1.1",3,53776991,53676991,53876991,"Sobic.003G206800",53734010,53740971,"similar to Putative uncharacterized protein",3,2,0.5,0.397783505154639,0.180664948453608,0.325196907216495
"Sbicolor_v3.1.1_Na_3_73716603","OG0007804","Na","Sbicolor_v3.1.1",3,73716603,73616603,73816603,"Sobic.003G437600",73796904,73808113,"similar to Thioredoxin M-like",3,2,0.5,0.397783505154639,0.180664948453608,0.325196907216495
"Sbicolor_v3.1.1_Na_5_55160554","OG0004196","Na","Sbicolor_v3.1.1",5,55160554,55060554,55260554,"Sobic.005G127100",55246646,55250106,"similar to Putative uncharacterized protein",3,2,0.5,0.397783505154639,0.180664948453608,0.325196907216495
"Sbicolor_v3.1.1_Na_5_55160554","OG0003079","Na","Sbicolor_v3.1.1",5,55160554,55060554,55260554,"Sobic.005G126600",55174999,55180981,"similar to F-box domain containing protein, expressed",3,2,0.5,0.397783505154639,0.180664948453608,0.325196907216495
"Sbicolor_v3.1.1_Na_8_54645693","OG0001515","Na","Sbicolor_v3.1.1",8,54645693,54545693,54745693,"Sobic.008G123300",54611483,54619058,"PTHR23074:SF70 - AAA-TYPE ATPASE FAMILY PROTEIN (1 of 4)",3,2,0.5,0.397783505154639,0.180664948453608,0.325196907216495
"Sbicolor_v3.1.1_Na_8_54645693","OG0001515","Na","Sbicolor_v3.1.1",8,54645693,54545693,54745693,"Sobic.008G123200",54594309,54603467,"PTHR23074:SF70 - AAA-TYPE ATPASE FAMILY PROTEIN (1 of 4)",3,2,0.5,0.397783505154639,0.180664948453608,0.325196907216495
"Sbicolor_v3.1.1_Na_8_59054884","OG0003655","Na","Sbicolor_v3.1.1",8,59054884,58954884,59154884,"Sobic.008G158100",59087181,59088488,"similar to Protein kinase domain containing protein, expressed",3,2,0.5,0.397783505154639,0.180664948453608,0.325196907216495
"Sbicolor_v3.1.1_Na_8_59054884","OG0000670","Na","Sbicolor_v3.1.1",8,59054884,58954884,59154884,"Sobic.008G157100",58967358,58972586,"similar to BZIP transcription factor family protein, expressed",3,2,0.5,0.397783505154639,0.180664948453608,0.325196907216495
"Sbicolor_v3.1.1_Na_8_59365024","OG0010264","Na","Sbicolor_v3.1.1",8,59365024,59265024,59465024,"Sobic.008G160700",59402485,59409682,"similar to Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial precursor",3,2,0.5,0.397783505154639,0.180664948453608,0.325196907216495
"Sbicolor_v3.1.1_Na_10_370834","OG0002266","Na","Sbicolor_v3.1.1",10,370834,270834,470834,"Sobic.010G005300",437432,439264,"similar to 60S ribosomal protein L9",3,3,0.666666666666667,0.397783505154639,0.120443298969072,0.313152577319588
"Sbicolor_v3.1.1_Na_10_370834","OG0003717","Na","Sbicolor_v3.1.1",10,370834,270834,470834,"Sobic.010G003100",273846,278531,"similar to Putative uncharacterized protein",3,3,0.666666666666667,0.397783505154639,0.120443298969072,0.313152577319588
"Sbicolor_v3.1.1_Na_10_55680554","OG0000574","Na","Sbicolor_v3.1.1",10,55680554,55580554,55780554,"Sobic.010G214900",55777184,55784716,"similar to Putative 4-coumarate--CoA ligase 4CL2",3,3,0.666666666666667,0.397783505154639,0.120443298969072,0.313152577319588
