"loci","Orthogroup","trait","org","Chromosome Name","bp","start","end","Gene Name","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Gmax_Wm82.a2.v1_P_12_5693819","OG0000072","P","Gmax_Wm82.a2.v1",12,5693819,5493819,6008606,"Glyma.12G076700",5885738,5891879,"PTHR31223:SF23 - CYTOKININ RIBOSIDE 5'-MONOPHOSPHATE PHOSPHORIBOHYDROLASE LOG1 (1 of 4)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_12_9149774","OG0000984","P","Gmax_Wm82.a2.v1",12,9149774,8949774,9389112,"Glyma.12G103100",9186005,9187910,"PTHR31241:SF2 - DEHYDRATION-RESPONSIVE ELEMENT-BINDING PROTEIN 2A-RELATED (1 of 8)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_13_14573926","OG0000894","P","Gmax_Wm82.a2.v1",13,14573926,14373926,15359673,"Glyma.13G051200",14765641,14767702,"K02912 - large subunit ribosomal protein L32e (RP-L32e, RPL32)  (1 of 8)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_13_1860543","OG0000086","P","Gmax_Wm82.a2.v1",13,1860543,1660543,2255850,"Glyma.13G006000",1806384,1806878,"1.1.1.248 - Salutaridine reductase (NADPH) (1 of 1)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_13_22551254","OG0001574","P","Gmax_Wm82.a2.v1",13,22551254,22351254,22751254,"Glyma.13G110400",22397029,22397901,"",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_13_25210324","OG0000072","P","Gmax_Wm82.a2.v1",13,25210324,25010324,25444362,"Glyma.13G140900",25344194,25348666,"",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_13_33790357","OG0002479","P","Gmax_Wm82.a2.v1",13,33790357,33590357,34353441,"Glyma.13G229600",34169980,34175488,"KOG4282 - Transcription factor GT-2 and related proteins, contains trihelix DNA-binding/SANT domain (1 of 43)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_13_40217964","OG0000984","P","Gmax_Wm82.a2.v1",13,40217964,40017964,40616548,"Glyma.13G304300",40128391,40130390,"PTHR31241:SF2 - DEHYDRATION-RESPONSIVE ELEMENT-BINDING PROTEIN 2A-RELATED (1 of 8)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_13_42058175","OG0000072","P","Gmax_Wm82.a2.v1",13,42058175,41858175,42310725,"Glyma.13G324700",41978496,41983456,"PTHR31223:SF23 - CYTOKININ RIBOSIDE 5'-MONOPHOSPHATE PHOSPHORIBOHYDROLASE LOG1 (1 of 4)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_13_45404759","OG0005267","P","Gmax_Wm82.a2.v1",13,45404759,45204759,45674276,"Glyma.13G371000",45626397,45631965,"PTHR31642:SF11 - SHIKIMATE O-HYDROXYCINNAMOYLTRANSFERASE (1 of 4)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_14_31326567","OG0001903","P","Gmax_Wm82.a2.v1",14,31326567,31126567,31526567,"Glyma.14G147500",31445895,31447409,"PTHR31985:SF37 - ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR ERF014 (1 of 4)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_14_43762665","OG0002409","P","Gmax_Wm82.a2.v1",14,43762665,43562665,43982337,"Glyma.14G178000",43791586,43795279,"PTHR11969//PTHR11969:SF19 - MAX DIMERIZATION, MAD // SUBFAMILY NOT NAMED (1 of 4)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_14_46907158","OG0001182","P","Gmax_Wm82.a2.v1",14,46907158,46707158,47389207,"Glyma.14G206100",47121840,47125184,"PTHR32370:SF17 - ROOT PHOTOTROPISM PROTEIN 2 (1 of 5)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_15_10702955","OG0008244","P","Gmax_Wm82.a2.v1",15,10702955,10502955,10902955,"Glyma.15G131900",10592185,10596470,"",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_15_12038299","OG0005075","P","Gmax_Wm82.a2.v1",15,12038299,11838299,12238299,"Glyma.15G148200",12189394,12197241,"K05931 - histone-arginine methyltransferase CARM1 [EC:2.1.1.125] (CARM1, PRMT4)  (1 of 4)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_15_20800727","OG0007595","P","Gmax_Wm82.a2.v1",15,20800727,20600727,21000727,"Glyma.15G191200",20628838,20636168,"PTHR13768:SF2 - GAMMA-SOLUBLE NSF ATTACHMENT PROTEIN (1 of 2)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_15_6432541","OG0002479","P","Gmax_Wm82.a2.v1",15,6432541,6232541,6769730,"Glyma.15G082900",6333075,6334762,"PF13837 - Myb/SANT-like DNA-binding domain (Myb_DNA-bind_4)  (1 of 71)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_16_30338142","OG0003968","P","Gmax_Wm82.a2.v1",16,30338142,30138142,31739639,"Glyma.16G151300",31181365,31186281,"K09875 - aquaporin SIP (SIP)  (1 of 7)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_18_10504864","OG0004595","P","Gmax_Wm82.a2.v1",18,10504864,10304864,10704864,"Glyma.18G099000",10326925,10347143,"PTHR12854//PTHR12854:SF12 - ATAXIN 2-RELATED // SUBFAMILY NOT NAMED (1 of 2)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_18_14816843","OG0000561","P","Gmax_Wm82.a2.v1",18,14816843,14616843,15225363,"Glyma.18G121200",15223420,15224399,"PTHR23324:SF48 - PATELLIN-3-RELATED (1 of 8)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_18_26486100","OG0005602","P","Gmax_Wm82.a2.v1",18,26486100,26286100,27101865,"Glyma.18G149600",26866084,26870647,"PTHR19297//PTHR19297:SF112 - GLYCOSYLTRANSFERASE 14 FAMILY MEMBER // SUBFAMILY NOT NAMED (1 of 2)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_18_441123","OG0000504","P","Gmax_Wm82.a2.v1",18,441123,241123,781209,"Glyma.18G009700",691244,695517,"",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_18_48229649","OG0000846","P","Gmax_Wm82.a2.v1",18,48229649,48029649,49042474,"Glyma.18G201600",48163734,48168274,"PTHR24078:SF298 - HEAT SHOCK PROTEIN 40-LIKE (1 of 5)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_19_1432212","OG0001308","P","Gmax_Wm82.a2.v1",19,1432212,1232212,1832417,"Glyma.19G016400",1631472,1639538,"K05658 - ATP-binding cassette, subfamily B (MDR/TAP), member 1 (ABCB1)  (1 of 39)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_19_35973307","OG0003968","P","Gmax_Wm82.a2.v1",19,35973307,35773307,36323951,"Glyma.19G108400",36093430,36103823,"",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_19_37812670","OG0002962","P","Gmax_Wm82.a2.v1",19,37812670,37612670,38012670,"Glyma.19G119300",37702506,37704532,"PTHR10641:SF471 - MYB TRANSCRIPTION FACTOR (1 of 1)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_19_39025216","OG0000551","P","Gmax_Wm82.a2.v1",19,39025216,38825216,39693124,"Glyma.19G129200",38849033,38857190,"PTHR24349//PTHR24349:SF92 - SERINE/THREONINE-PROTEIN KINASE // SUBFAMILY NOT NAMED (1 of 4)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_1_1234293","OG0001845","P","Gmax_Wm82.a2.v1",1,1234293,1034293,1544360,"Glyma.01G015600",1522027,1527320,"K08488 - syntaxin 7 (STX7)  (1 of 6)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_1_36847726","OG0001793","P","Gmax_Wm82.a2.v1",1,36847726,36647726,37047726,"Glyma.01G108000",36876801,36881550,"PTHR21290//PTHR21290:SF29 - SPHINGOMYELIN SYNTHETASE // SUBFAMILY NOT NAMED (1 of 4)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_1_53472972","OG0001847","P","Gmax_Wm82.a2.v1",1,53472972,53272972,53986562,"Glyma.01G205900",53825998,53827692,"PTHR31403:SF2 - PHOSPHOLIPASE A1-IBETA2, CHLOROPLASTIC (1 of 4)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_20_35616323","OG0003055","P","Gmax_Wm82.a2.v1",20,35616323,35416323,35816323,"Glyma.20G115500",35732477,35735054,"PTHR31561:SF5 - 3-KETOACYL-COA SYNTHASE 5-RELATED (1 of 3)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_20_36177520","OG0010600","P","Gmax_Wm82.a2.v1",20,36177520,35977520,37167259,"Glyma.20G125900",36801843,36804427,"PF01535//PF12854//PF13041 - PPR repeat (PPR)  // PPR repeat (PPR_1)  // PPR repeat family (PPR_2)  (1 of 52)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_20_44426747","OG0001939","P","Gmax_Wm82.a2.v1",20,44426747,44226747,44626747,"Glyma.20G205400",44235154,44239490,"",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_20_46832065","OG0011860","P","Gmax_Wm82.a2.v1",20,46832065,46632065,47032065,"Glyma.20G234000",46670542,46676280,"",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_2_14293082","OG0007388","P","Gmax_Wm82.a2.v1",2,14293082,14093082,14514980,"Glyma.02G137400",14214097,14219443,"",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_2_5543527","OG0003968","P","Gmax_Wm82.a2.v1",2,5543527,5343527,6188587,"Glyma.02G069800",6136124,6140469,"K09875 - aquaporin SIP (SIP)  (1 of 7)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_2_9308478","OG0001401","P","Gmax_Wm82.a2.v1",2,9308478,9108478,10074820,"Glyma.02G103600",9841746,9843168,"K02960 - small subunit ribosomal protein S16e (RP-S16e, RPS16)  (1 of 4)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_3_36789714","OG0000800","P","Gmax_Wm82.a2.v1",3,36789714,36589714,37159274,"Glyma.03G156400",37149353,37154406,"",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_4_35367477","OG0000570","P","Gmax_Wm82.a2.v1",4,35367477,35167477,35967119,"Glyma.04G154900",35946734,35950623,"K09285 - AP2-like factor, ANT lineage (OVM, ANT)  (1 of 30)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_4_41468715","OG0000266","P","Gmax_Wm82.a2.v1",4,41468715,41268715,41668715,"Glyma.04G166000",41629380,41629919,"PTHR10811//PTHR10811:SF11 - FRINGE-RELATED // SUBFAMILY NOT NAMED (1 of 5)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_4_44120183","OG0006257","P","Gmax_Wm82.a2.v1",4,44120183,43920183,44329253,"Glyma.04G176300",43920146,43922209,"",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_4_47241037","OG0002520","P","Gmax_Wm82.a2.v1",4,47241037,47041037,47506720,"Glyma.04G199700",47197472,47198944,"PTHR10627 - SCP160 (1 of 8)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_4_9220826","OG0002916","P","Gmax_Wm82.a2.v1",4,9220826,9020826,9821570,"Glyma.04G102400",9435139,9436538,"PTHR14791 - BOMB/KIRA PROTEINS (1 of 5)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_5_32095735","OG0008775","P","Gmax_Wm82.a2.v1",5,32095735,31895735,32295735,"Glyma.05G128200",32158034,32162343,"K13420 - LRR receptor-like serine/threonine-protein kinase FLS2 (FLS2)  (1 of 2)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_5_32596081","OG0001810","P","Gmax_Wm82.a2.v1",5,32596081,32396081,33089072,"Glyma.05G136800",32926158,32931950,"PTHR10766//PTHR10766:SF58 - TRANSMEMBRANE 9 SUPERFAMILY PROTEIN // SUBFAMILY NOT NAMED (1 of 6)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_5_33887621","OG0000940","P","Gmax_Wm82.a2.v1",5,33887621,33687621,34399787,"Glyma.05G149900",34389242,34393621,"",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_5_36917839","OG0005691","P","Gmax_Wm82.a2.v1",5,36917839,36717839,37117839,"Glyma.05G179200",36725007,36725747,"PTHR31852:SF47 - HYDROXYPROLINE-RICH GLYCOPROTEIN FAMILY PROTEIN (1 of 2)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_5_37595926","OG0003622","P","Gmax_Wm82.a2.v1",5,37595926,37395926,38100941,"Glyma.05G190600",37635023,37636860,"PTHR12565:SF125 - TRANSCRIPTION FACTOR HEC3-RELATED (1 of 4)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_5_40934088","OG0001401","P","Gmax_Wm82.a2.v1",5,40934088,40734088,41914219,"Glyma.05G241200",41615990,41617306,"K02960 - small subunit ribosomal protein S16e (RP-S16e, RPS16)  (1 of 4)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_6_11315475","OG0008506","P","Gmax_Wm82.a2.v1",6,11315475,11115475,11515475,"Glyma.06G135600",11139650,11148407,"PTHR31741:SF6 - O-FUCOSYLTRANSFERASE-LIKE PROTEIN (1 of 2)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_6_16345219","OG0006257","P","Gmax_Wm82.a2.v1",6,16345219,16145219,16545219,"Glyma.06G189000",16495099,16498107,"",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_6_19261720","OG0007954","P","Gmax_Wm82.a2.v1",6,19261720,19061720,20770157,"Glyma.06G205300",19396744,19398076,"PTHR12482:SF11 - HYDROLASE-LIKE PROTEIN (1 of 3)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_6_31085380","OG0000570","P","Gmax_Wm82.a2.v1",6,31085380,30885380,31285380,"Glyma.06G225200",30990650,30994490,"K09285 - AP2-like factor, ANT lineage (OVM, ANT)  (1 of 30)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_6_4187283","OG0000072","P","Gmax_Wm82.a2.v1",6,4187283,3987283,4387283,"Glyma.06G053000",4010692,4013662,"PTHR31223:SF4 - CYTOKININ RIBOSIDE 5'-MONOPHOSPHATE PHOSPHORIBOHYDROLASE LOG8-RELATED (1 of 4)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_6_46954093","OG0001533","P","Gmax_Wm82.a2.v1",6,46954093,46754093,47428729,"Glyma.06G284000",47210055,47217578,"PTHR22880:SF172 - TRANSCRIPTION FACTOR GTE3, CHLOROPLASTIC-RELATED (1 of 4)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_6_7689180","OG0002409","P","Gmax_Wm82.a2.v1",6,7689180,7489180,8182338,"Glyma.06G100000",7950498,7952588,"PTHR11969//PTHR11969:SF19 - MAX DIMERIZATION, MAD // SUBFAMILY NOT NAMED (1 of 4)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_7_16683993","OG0001793","P","Gmax_Wm82.a2.v1",7,16683993,16483993,17439030,"Glyma.07G142000",16871569,16876805,"PTHR21290//PTHR21290:SF29 - SPHINGOMYELIN SYNTHETASE // SUBFAMILY NOT NAMED (1 of 4)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_7_4016975","OG0000205","P","Gmax_Wm82.a2.v1",7,4016975,3816975,4236328,"Glyma.07G048300",4086892,4090342,"PTHR10286:SF10 - F11O4.12 (1 of 8)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_8_23116108","OG0002520","P","Gmax_Wm82.a2.v1",8,23116108,22916108,23539411,"Glyma.08G258000",23210290,23212370,"PTHR10627 - SCP160 (1 of 8)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_8_41397580","OG0000570","P","Gmax_Wm82.a2.v1",8,41397580,41197580,41597580,"Glyma.08G297000",41326371,41329183,"PF00847 - AP2 domain (AP2)  (1 of 354)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_8_43537604","OG0004595","P","Gmax_Wm82.a2.v1",8,43537604,43337604,43767102,"Glyma.08G315100",43503120,43511336,"",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_8_46094205","OG0000940","P","Gmax_Wm82.a2.v1",8,46094205,45894205,46323407,"Glyma.08G346700",46145796,46150789,"PTHR10516:SF279 - PEPTIDYL-PROLYL CIS-TRANS ISOMERASE FKBP65 (1 of 3)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_8_7142344","OG0001810","P","Gmax_Wm82.a2.v1",8,7142344,6942344,7342344,"Glyma.08G092100",6956769,6962681,"",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_8_9700858","OG0002863","P","Gmax_Wm82.a2.v1",8,9700858,9500858,9900858,"Glyma.08G124000",9519411,9525223,"",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_9_1848539","OG0002863","P","Gmax_Wm82.a2.v1",9,1848539,1648539,2048539,"Glyma.09G024400",1957212,1963033,"PTHR23180:SF245 - ADP-RIBOSYLATION FACTOR GTPASE-ACTIVATING PROTEIN AGD12-RELATED (1 of 5)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_9_2342864","OG0001068","P","Gmax_Wm82.a2.v1",9,2342864,2142864,3040246,"Glyma.09G030300",2504473,2510314,"",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_9_3313044","OG0003055","P","Gmax_Wm82.a2.v1",9,3313044,3113044,3791753,"Glyma.09G043700",3722797,3723765,"PTHR31561:SF6 - 3-KETOACYL-COA SYNTHASE 20-RELATED (1 of 2)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_9_45410647","OG0000072","P","Gmax_Wm82.a2.v1",9,45410647,45210647,45966109,"Glyma.09G229100",45312137,45314098,"",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Gmax_Wm82.a2.v1_P_9_6075119","OG0000197","P","Gmax_Wm82.a2.v1",9,6075119,5875119,7233037,"Glyma.09G068500",6937814,6941687,"PTHR12321:SF61 - PHD FINGER PROTEIN ALFIN-LIKE 5 (1 of 2)",3,1,0,0.354106463878327,0.387536121673004,0.387536121673004
"Sbicolor_v3.1.1_P_1_4007434","OG0000073","P","Sbicolor_v3.1.1",1,4007434,3907434,4107434,"Sobic.001G053700",4015082,4023935,"",4,5,0.8,0.45325,0.08748,0.367416
"Sbicolor_v3.1.1_P_1_4007434","OG0000073","P","Sbicolor_v3.1.1",1,4007434,3907434,4107434,"Sobic.001G053350",3942720,3955241,"PF02170//PF08699//PF16487//PF16488 - PAZ domain (PAZ)  // Argonaute linker 1 domain (ArgoL1)  // Mid domain of argonaute (ArgoMid)  // Argonaute linker 2 domain (ArgoL2)  (1 of 1)",4,5,0.8,0.45325,0.08748,0.367416
"Gmax_Wm82.a2.v1_P_16_36249364","OG0000073","P","Gmax_Wm82.a2.v1",16,36249364,36049364,38028927,"Glyma.16G217300",37420630,37427964,"PTHR22891//PTHR22891:SF34 - EUKARYOTIC TRANSLATION INITIATION FACTOR 2C // SUBFAMILY NOT NAMED (1 of 2)",4,4,0.75,0.473375,0.105325,0.358105
"Gmax_Wm82.a2.v1_P_18_50504231","OG0005100","P","Gmax_Wm82.a2.v1",18,50504231,50304231,51376803,"Glyma.18G220100",50708694,50712773,"",4,4,0.75,0.473375,0.105325,0.358105
"Sbicolor_v3.1.1_P_10_52965914","OG0002863","P","Sbicolor_v3.1.1",10,52965914,52865914,53065914,"Sobic.010G188600",52907122,52910518,"similar to Putative uncharacterized protein",3,1,0,0.417630952380952,0.349421428571428,0.349421428571428
"Sbicolor_v3.1.1_P_1_20256398","OG0000072","P","Sbicolor_v3.1.1",1,20256398,20156398,20356398,"Sobic.001G217700",20251157,20256745,"similar to Expressed protein",3,1,0,0.417630952380952,0.349421428571428,0.349421428571428
"Sbicolor_v3.1.1_P_1_57490927","OG0001847","P","Sbicolor_v3.1.1",1,57490927,57390927,57590927,"Sobic.001G295700",57443075,57444976,"similar to Os10g0562200 protein",3,1,0,0.417630952380952,0.349421428571428,0.349421428571428
"Sbicolor_v3.1.1_P_1_57941392","OG0001574","P","Sbicolor_v3.1.1",1,57941392,57841392,58041392,"Sobic.001G297800",57849689,57851951,"similar to Expressed protein",3,1,0,0.417630952380952,0.349421428571428,0.349421428571428
"Sbicolor_v3.1.1_P_1_60813053","OG0001784","P","Sbicolor_v3.1.1",1,60813053,60713053,60913053,"Sobic.001G321200",60885217,60889979,"similar to Armadillo/beta-catenin-like repeat family protein, expressed",3,1,0,0.417630952380952,0.349421428571428,0.349421428571428
"Sbicolor_v3.1.1_P_1_72061476","OG0001810","P","Sbicolor_v3.1.1",1,72061476,71961476,72161476,"Sobic.001G443200",72063168,72067836,"similar to Endomembrane protein 70 containing protein, expressed",3,1,0,0.417630952380952,0.349421428571428,0.349421428571428
"Sbicolor_v3.1.1_P_1_72605904","OG0001741","P","Sbicolor_v3.1.1",1,72605904,72505904,72705904,"Sobic.001G449200",72632469,72633957,"similar to Putative uncharacterized protein",3,1,0,0.417630952380952,0.349421428571428,0.349421428571428
